Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Audit ID,Department,Region,Control Score,Compliance Status,Auditor Name,Audit Date,Violations Count
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Review Findings,c6992625-1f82-43ed-b459-6c24cd98c24d,Finance,APAC,58.54,Pending Review,Samantha Johnson,2025-03-13,1
Operational Risk,Control Management,Internal Audit and Controls,Assess Risk Controls,Security Value,Control Data,Review Findings,fe5750f5-a515-4c0d-922e-b7b5c9397d7b,IT,Americas,50.26,Compliant,Caleb Jones,2025-08-31,1
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Assess Controls,3fd5d9b6-172b-4b07-b093-4988db3185f0,Finance,Americas,78.43,Pending Review,Emily Benson,2025-05-21,3
Financial Control,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Enforce Segregation of Duties,0791ed4b-3258-4495-95bd-fe3d51457e7d,HR,EMEA,75.68,Compliant,Cynthia Kim,2025-06-28,6
Risk Management,Control Management,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,aa440ef9-dbb0-4be8-a0b4-65d1ae0821a7,Operations,APAC,55.54,Pending Review,Kristen Schneider,2025-02-28,1
Operational Risk,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Monitor,Audit Data,Enforce Segregation of Duties,b7323d26-b3d4-4e43-a926-a594c8c735db,Finance,EMEA,75.36,Pending Review,Kelly Knox,2025-05-31,6
Financial Control,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Assess Controls,9d0c6fc2-66da-4837-b820-6fa13f684b04,IT,Americas,62.86,Escalated,Kyle Yang,2025-07-23,1
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Assess Controls,9120e80f-77e7-4df3-9e4c-cf3baa2cf90c,IT,EMEA,89.95,Non-Compliant,Nicole Bennett,2025-04-15,5
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,f71fce16-8b55-4eaa-8a04-3f4a73141e83,Compliance,APAC,61.49,Escalated,Abigail Butler,2025-05-07,7
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Control Data,Assess Controls,cbab969f-6c96-4600-ac14-fe3c2625f4d8,HR,EMEA,62.67,Pending Review,Marcia Lopez,2025-04-29,0
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,80acdae3-137e-447d-903a-98525f97f7f1,Compliance,APAC,93.79,Pending Review,Nicole Scott,2025-05-14,1
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Review Findings,96c8462c-059c-46e8-8123-118bce4e6246,Operations,APAC,97.26,Pending Review,Tiffany Clark,2025-03-28,1
Financial Control,Control Management,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Review Findings,932178df-86e7-4b1d-a398-59cf35e53958,IT,APAC,65.58,Non-Compliant,Katherine Robles,2025-03-01,2
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,cfef53fe-8567-4c9a-bacc-20f829a75f47,Operations,EMEA,78.15,Pending Review,Joyce Obrien,2025-01-14,8
Operational Risk,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,e1fb37f6-fa77-41ce-8f45-3fae6cca13eb,IT,EMEA,72.68,Non-Compliant,Alison Gonzalez,2025-06-16,9
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Review Findings,428e790a-beaf-4dc4-b21d-f73a087f277c,Finance,APAC,64.59,Non-Compliant,Richard Johnson,2025-03-20,3
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Review Findings,73ae1576-d88e-4746-a671-ce758fbfec10,HR,APAC,50.85,Non-Compliant,Ruth Sanders,2025-09-26,1
Financial Control,Control Management,Audit Reporting,Review Audit Findings,Security Value,Compliance Data,Enforce Segregation of Duties,5825361b-fc6a-4e35-83f3-6e281074db84,Compliance,APAC,72.37,Non-Compliant,James Murray,2025-02-23,8
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Review Findings,c3aa67fd-9927-4935-9bca-e4aaa585d950,Finance,EMEA,57.9,Pending Review,Joan Diaz,2025-06-01,4
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Assess Controls,6c17a9d1-eafd-4310-adfe-b84c8a001079,Compliance,APAC,86.52,Compliant,James Lopez,2025-04-27,9
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Assess Controls,3aa6d5a8-b08f-4ca7-a664-ae6b52d26228,Compliance,APAC,55.71,Escalated,Corey Rush,2025-07-18,9
Operational Risk,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,13b78d66-8ef6-401f-88c5-b447e34d94d1,HR,APAC,53.16,Non-Compliant,Jennifer Cox,2025-07-29,4
Operational Risk,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Assess Controls,a80be662-ae8f-40ee-bd34-f427a9f92974,HR,APAC,77.18,Escalated,Jill Hardy,2025-03-07,2
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,0aff5e95-ce3c-4280-9249-fab95ce71f4c,Compliance,Americas,64.53,Escalated,Brian Armstrong,2025-07-02,10
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Compliance Oversight,Audit Data,Enforce Segregation of Duties,30003245-ebef-4c6e-8002-fb7e705bc6b0,Operations,APAC,60.4,Escalated,Kayla Arroyo,2025-06-07,9
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Control Data,Review Findings,515a365c-61c9-4248-bd12-50bf31c5a4d2,Compliance,EMEA,93.79,Non-Compliant,Joseph Estrada,2025-07-12,0
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,6e373aaa-cd4d-42c3-a598-4298bb8ebfe5,Finance,Americas,52.92,Non-Compliant,Brian Hall,2025-09-29,8
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,1e51c517-dba9-41f0-9d46-866a3504c6e2,Compliance,APAC,54.9,Escalated,Lori Lee,2025-10-06,2
Financial Control,Control Management,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,5d094680-72f2-422a-88c1-6fc4d4402064,Operations,EMEA,62.07,Non-Compliant,Suzanne Wallace,2025-05-06,1
Risk Management,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,9f7b112a-ae48-408e-9ac7-5fc6574ec943,IT,EMEA,59.24,Escalated,Reginald Cruz,2025-07-31,0
Risk Management,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Audit Data,Assess Controls,3c2f35c6-86a1-454f-85f1-29da2f0be524,Finance,APAC,95.63,Pending Review,Timothy Ramsey,2025-10-06,4
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Enforce Segregation of Duties,ea844f7a-ebfe-4f3f-9d34-b8e00a1b814b,Compliance,EMEA,78.55,Non-Compliant,Jordan Mason,2025-03-19,4
Risk Management,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Enforce Segregation of Duties,48be5f74-102f-490d-a710-db1d30b8bf01,Operations,APAC,58.47,Escalated,Amanda Marshall,2025-09-19,2
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,f0e4bb47-e77d-4cbf-b83d-c49c6439bc79,Operations,Americas,50.4,Escalated,Megan Mosley,2025-08-13,0
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Control Data,Review Findings,2e786278-845a-4ac0-a456-bd3ffe9aaeb2,Operations,APAC,53.15,Pending Review,Jean Blackwell,2025-02-24,4
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Compliance Data,Review Findings,e44df24f-2b66-416a-9dc8-f3bdd04939ce,Finance,EMEA,70.17,Compliant,Darin Martin,2025-08-15,9
Risk Management,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,df8e9a34-70cd-4276-8824-d2e644e65387,HR,Americas,95.09,Escalated,Joshua Brewer,2025-01-14,2
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Monitor,Audit Data,Review Findings,6f152005-5389-4b20-8849-f3db002c3a6b,Compliance,Americas,76.35,Non-Compliant,Kyle Bennett,2025-02-15,8
Operational Risk,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,2a54443f-8774-4a50-b8b3-eb649c379c9a,Compliance,APAC,96.03,Compliant,Tamara Gilbert,2025-07-15,3
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,67f73da4-da4d-4894-b493-88da0a0bf9d3,Operations,Americas,70.35,Pending Review,Sandra Peterson,2025-10-06,1
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,cb9f6af8-b27e-4aef-b1a6-fda60d9f1309,IT,APAC,85.73,Non-Compliant,Adam Butler,2025-01-19,9
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,ebc48dca-af10-4f8a-b4d5-9fbd376084e5,Finance,EMEA,55.87,Compliant,Steven Poole,2025-02-09,8
Risk Management,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,f00d97f6-60e3-488e-9bc5-1835b1cf4a77,Compliance,APAC,95.27,Compliant,Eric Parker,2025-05-06,3
Financial Control,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Enforce Segregation of Duties,4d12d827-3baa-4d17-bccb-9bc92d76aede,Finance,Americas,69.13,Pending Review,Theresa Castillo,2025-08-11,4
Financial Control,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Assess Controls,200bf5a3-6b5d-433d-87cb-08caf148d88b,Finance,EMEA,83.57,Pending Review,Lori Wilkerson,2025-10-11,3
Financial Control,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Enforce Segregation of Duties,eb81a300-2a8d-43f6-a154-e7ad1cc34bc6,Compliance,Americas,77.56,Escalated,Jeffrey Russell,2025-05-25,6
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Review Findings,483ffdf5-de04-4239-a107-576f37010829,Operations,EMEA,53.12,Pending Review,Laura Campbell,2025-07-22,10
Financial Control,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,d0abdb0b-5c2d-4402-b668-6a32546f8796,Finance,EMEA,68.19,Escalated,Sarah Williams,2025-03-04,6
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,6f13b758-244a-4209-91fe-af43b11cdbfe,Compliance,APAC,82.14,Pending Review,William Williams,2025-08-11,2
Risk Management,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,6fa3484d-d46c-40cf-995e-ec581a141a63,Operations,Americas,77.87,Non-Compliant,Annette Friedman,2025-02-11,10
Financial Control,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Assess Controls,9a3bb48b-3d31-4d35-842f-114c3fa2b2eb,Finance,Americas,95.81,Compliant,Tamara Vargas,2025-10-05,2
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Review Findings,78a315c1-f31b-404d-b66b-d35d20c1b248,HR,APAC,76.09,Non-Compliant,Rebecca Bates,2025-03-17,6
Operational Risk,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Control Data,Assess Controls,23b98520-c28e-4db5-b181-f0c71ae6ef1c,IT,EMEA,62.6,Pending Review,Robert Ball,2025-09-23,5
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,555a8b05-ff93-480b-96bf-9a62a9e667bd,Compliance,EMEA,92.11,Non-Compliant,Nathan Smith DDS,2025-07-25,8
Operational Risk,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,fd7d157e-3c8f-45e0-94ba-0693ed983fd4,Operations,EMEA,65.82,Escalated,Sheila Ford,2025-04-19,2
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,a58c42ce-ac4a-4e35-b66c-15258efe2caf,IT,APAC,77.45,Pending Review,Jessica James,2025-02-21,9
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,5e929fd9-cd1d-4257-9449-deae0589cd83,Operations,EMEA,66.32,Compliant,Keith Carroll,2025-08-15,4
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,00d2e646-2030-47db-a077-bc04e0b6f9f7,Finance,APAC,72.7,Non-Compliant,David Park,2025-04-27,4
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,2cc16791-1154-4811-9069-c7c2c6119dc1,Finance,Americas,74.31,Compliant,Samantha Watts,2025-03-02,7
Financial Control,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,1cda36ba-5bb2-48dc-aa06-bfa00121cf61,HR,Americas,72.49,Non-Compliant,Rebecca Hernandez,2025-04-12,0
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Enforce Segregation of Duties,79a5b82b-6b67-466e-a943-728275854fea,Compliance,APAC,98.29,Compliant,Barbara Harrison,2025-07-30,10
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Review Findings,d57d09c9-cd98-410f-a186-cfbe8103b915,HR,Americas,89.79,Escalated,Linda Little,2025-05-10,8
Risk Management,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Assess Controls,49b6f24c-01d4-4dcc-8bde-b489554b5de0,Finance,Americas,76.94,Non-Compliant,Christopher White,2025-09-04,10
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,0599ce12-443a-42db-8bcb-4991da07fb8f,Finance,EMEA,87.15,Compliant,Wendy Hebert,2025-08-15,8
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Control Data,Enforce Segregation of Duties,0bb3ebac-37d5-486e-bca3-9d4a5da34702,IT,Americas,58.08,Non-Compliant,Cameron Cook,2025-06-23,6
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Control Data,Enforce Segregation of Duties,5c08e956-6cca-4833-b48f-31fdd5785ddd,HR,APAC,58.05,Pending Review,Aaron Elliott,2025-04-10,2
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Monitor,Control Data,Assess Controls,5146c5b7-dd61-491e-a271-a6fdca59aa47,IT,Americas,93.64,Compliant,Joseph Freeman,2025-07-27,1
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Audit Data,Enforce Segregation of Duties,97018c1e-eb16-42a9-8e8d-fe688581f8a0,Compliance,APAC,96.87,Compliant,Samantha Luna,2025-08-29,1
Financial Control,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Control Data,Enforce Segregation of Duties,ed161ddd-6512-4c39-b32e-b29a3f474461,Operations,EMEA,51.43,Non-Compliant,Erika Perkins,2025-06-26,4
Operational Risk,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,25cade92-7874-4135-915e-681a2b9f95b4,Finance,APAC,90.75,Compliant,Anna Ramirez,2025-04-22,0
Financial Control,Control Management,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Control Data,Assess Controls,6939a27b-bd37-487b-b8b8-2fa68fb334cf,Operations,APAC,75.22,Pending Review,Ashley Williams,2025-02-21,1
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,7070e4b5-9cc0-411a-a71c-9e0aedfba57d,Operations,Americas,88.78,Compliant,Jesse Tran,2025-08-11,2
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,955f4232-84c3-429c-b714-a0b30de4a061,Compliance,EMEA,68.47,Non-Compliant,Christine Reed,2025-02-05,1
Operational Risk,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,390c3185-e2e5-4aa3-94d9-c3bf961d6af2,IT,EMEA,56.61,Pending Review,Christopher Arnold,2025-06-09,2
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Compliance Data,Review Findings,987293f5-db96-41a0-ab5a-93078e75213c,HR,EMEA,53.32,Compliant,Kyle Stanley,2025-05-16,4
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Assess Controls,a6c14644-2681-4e76-8775-d6bcf13d041d,Operations,Americas,73.9,Compliant,Michael Williams,2025-09-14,8
Risk Management,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Enforce Segregation of Duties,5d2e191d-8b3a-44d2-87a1-3418c1bb5445,IT,EMEA,96.13,Pending Review,Ryan Huang,2025-08-16,7
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,f7df753f-14ca-455f-b832-b43b67ba6bf9,IT,EMEA,94.01,Non-Compliant,Stacie Williams,2025-03-23,5
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Control Data,Review Findings,dd074081-ba0b-403d-9879-f86a12683288,HR,Americas,80.28,Non-Compliant,Bob Novak,2025-08-21,2
Risk Management,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Review Findings,5d0fb445-8314-46d0-884b-fd4239aba919,Compliance,APAC,86.73,Escalated,Jesse Jones,2025-10-13,1
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,5fcb3f7b-ec5b-47bd-8bd8-fc9eaed188bd,HR,Americas,52.03,Compliant,Tony Massey,2025-01-24,1
Risk Management,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Monitor,Audit Data,Assess Controls,6cdcd50b-2ffe-4d4b-82e9-99289072e652,Finance,APAC,73.19,Pending Review,Dustin Garza,2025-04-12,4
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Audit Data,Review Findings,167cba76-108a-4475-875e-8d61fe75d3db,HR,Americas,83.19,Compliant,Andrew Owen,2025-07-02,7
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Enforce Segregation of Duties,7c46739b-c236-435c-be07-1f88b5732436,IT,EMEA,99.69,Compliant,David Thornton,2025-06-28,6
Financial Control,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Review Findings,5fbbf413-af83-4e5e-a9cc-ea2b85946d9d,HR,Americas,83.88,Compliant,Zachary Brown,2025-05-01,0
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Assess Controls,94531fa7-0042-45fa-803e-d9e1b31c29f4,Operations,Americas,52.6,Compliant,Susan Davis,2025-05-29,4
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Compliance Data,Enforce Segregation of Duties,56a83c75-2e0c-4ff3-8d6b-43ecbd8f0331,IT,APAC,77.86,Escalated,James Mckinney,2025-05-03,0
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Monitor,Audit Data,Assess Controls,3568fece-d01e-4085-880b-3feaeb718d74,IT,APAC,85.49,Pending Review,Diane Hall,2025-08-05,8
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,94709553-80c1-482f-805b-a597e87b17c2,HR,APAC,74.21,Non-Compliant,Mary Zamora,2025-06-01,5
Risk Management,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,8c6480ba-0002-4c6e-ac75-ba6539efbd9e,HR,APAC,90.07,Non-Compliant,Victoria Williamson,2025-09-20,3
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Assess Controls,52230245-b48b-4e20-a096-9d5b36f1aec8,Operations,Americas,56.28,Compliant,Joseph Smith,2025-06-19,5
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,3f8cecfe-42f9-458c-937d-5953b576b828,Finance,Americas,90.46,Pending Review,Heather Bell,2025-05-01,8
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Review Findings,2f020f95-7b5e-47ed-a1ab-8b5d2d2c3de4,Finance,Americas,92.11,Compliant,Shelia May,2025-06-17,9
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,3c5ee1b7-642f-492d-ae5e-7b9d27933006,HR,APAC,74.6,Pending Review,Annette Garcia,2025-02-05,6
Risk Management,Control Management,Control Monitoring,Review Audit Findings,Compliance Oversight,Audit Data,Assess Controls,680f5084-b727-4f1f-93ec-ce38b2e886f2,Finance,Americas,98.97,Non-Compliant,Darrell Burke,2025-10-07,1
Operational Risk,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Review Findings,a1f2651d-a6de-4a64-a7ab-fec8513a6543,Operations,EMEA,55.46,Non-Compliant,Ashley Brown,2025-08-21,0
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Control Data,Assess Controls,fcfbb174-2073-43c8-9849-7373dc13803f,Operations,EMEA,75.32,Pending Review,Laura Hardy,2025-07-10,4
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Assess Controls,3477f05d-769f-4a36-ab7c-4d299bf33673,IT,APAC,99.47,Escalated,Elizabeth Walker,2025-02-26,9
Operational Risk,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,3f0303d5-330e-4968-ae0c-f0184bb12c7a,Compliance,APAC,70.7,Compliant,Michael York,2025-02-24,2
Risk Management,Control Management,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Review Findings,d82239c4-ac66-45d7-84e3-a2993b91379a,Finance,Americas,50.44,Non-Compliant,Jeffery Donaldson,2025-08-31,10
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Audit Data,Assess Controls,c339f8ef-3765-4a99-a324-5b7f054d77ff,Operations,APAC,93.85,Pending Review,Paula Hawkins,2025-08-23,6
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Assess Controls,7418bf2f-9df4-405b-8d5c-63f26d695417,IT,Americas,73.77,Escalated,Teresa Foster,2025-06-28,0
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Compliance Data,Assess Controls,b92ece62-1890-490c-b2d1-4a0ed209d561,Finance,Americas,90.9,Non-Compliant,Alexandra Patterson,2025-08-09,6
