Customer_ID,Full_Name,Document_Type,Document_Number,Issue_Date,Expiry_Date,Issuing_Authority,Verification_Status,Risk_Level,Onboarding_Channel,KYC_Renewal_Date,Created_At,Business_Activity,Value_Domain,Data_Segment,Data_Domain
CUST11825,Kelsey Sanders,Employee ID,EMP535181,2015-12-17,2029-06-11,Election Commission,Verified,High,Online,2027-04-17,2020-04-24 08:24:32,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST37408,Mr. Richard Long,Bank Statement,BAN724812,2016-06-12,2031-02-09,Regional Transport Office,Pending,High,Agent Assisted,2027-04-16,2021-02-12 17:07:34,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST29668,Karen Bowman,Driving License,DRI506734,2017-03-20,2029-08-11,Regional Transport Office,Verified,High,Online,2026-10-04,2020-12-11 01:55:20,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST49734,Mary Ray,National ID,NAT743097,2021-09-13,2033-06-09,Election Commission,Verified,Medium,Branch Visit,2027-09-02,2020-12-10 11:39:24,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST91974,Robert Henry,Driving License,DRI898390,2017-03-20,2031-12-25,Election Commission,Rejected,Low,Online,2026-05-21,2022-07-16 19:42:58,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST70178,Heather Lutz,Driving License,DRI925193,2024-02-15,2029-05-24,Election Commission,Pending,High,Branch Visit,2026-07-16,2020-04-29 20:35:18,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST70664,Christopher Cruz,Passport,PAS337656,2017-11-27,2034-07-29,Govt of India,Rejected,Low,Online,2027-07-20,2020-02-19 17:01:39,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST11610,Rebecca Newman,Aadhaar Card,AAD573027,2024-08-28,2029-09-26,Govt of India,Rejected,Low,Online,2025-11-20,2024-04-05 09:03:16,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST84454,Mr. Hector Hall,Voter ID,VOT382273,2020-03-31,2031-01-22,UIDAI,Verified,Medium,Agent Assisted,2027-04-07,2020-10-29 00:21:53,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST35405,Craig Nelson,Driving License,DRI645760,2024-04-15,2035-01-05,Election Commission,Rejected,Low,Online,2026-05-23,2024-05-25 03:07:32,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST69607,Mark Baker,Employee ID,EMP738100,2022-06-27,2031-12-11,Income Tax Dept,Pending,Low,Online,2026-02-20,2023-06-12 01:36:01,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST23414,Jared Scott,Driving License,DRI136406,2023-06-08,2033-05-04,Income Tax Dept,Rejected,Low,Branch Visit,2027-08-16,2021-06-17 11:03:53,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST58249,Donna Mullen,Driving License,DRI283288,2022-05-13,2027-03-30,Govt of India,Pending,Low,Agent Assisted,2027-09-21,2024-12-15 13:22:14,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST64183,Joshua Powell,Bank Statement,BAN769135,2019-07-08,2026-11-21,Income Tax Dept,Rejected,Medium,Branch Visit,2026-09-13,2023-10-18 02:05:04,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST25657,Lauren Travis MD,Bank Statement,BAN285054,2018-04-15,2026-08-11,UIDAI,Verified,Low,Online,2026-05-12,2023-12-04 02:20:59,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST31161,Timothy Porter,PAN Card,PAN562352,2018-11-29,2026-05-08,Election Commission,Verified,High,Agent Assisted,2025-12-30,2023-03-23 11:12:51,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST54498,Shannon Phillips,Driving License,DRI285531,2017-11-16,2035-05-21,Income Tax Dept,Verified,Low,Online,2026-01-27,2024-04-28 10:42:35,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST75097,Erik Decker,Passport,PAS365848,2019-10-21,2027-05-11,Election Commission,Verified,Low,Branch Visit,2026-12-02,2022-03-21 10:22:57,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST13807,Dustin Meyers,Passport,PAS688747,2024-08-09,2035-05-16,Election Commission,Pending,Low,Online,2027-03-02,2020-08-09 19:41:56,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST77401,Richard Martinez,Employee ID,EMP819742,2023-08-03,2029-01-18,Income Tax Dept,Pending,High,Online,2027-09-09,2023-05-01 12:39:38,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST23468,Danny Aguilar,PAN Card,PAN311355,2019-05-02,2035-01-19,Govt of India,Verified,Low,Agent Assisted,2027-10-15,2020-03-23 15:48:23,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST91714,Gregory Hess,Voter ID,VOT846108,2017-03-06,2034-09-06,Election Commission,Verified,Medium,Agent Assisted,2027-04-16,2024-04-20 10:44:31,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST84681,Matthew Cook,Bank Statement,BAN305357,2017-10-27,2026-05-18,UIDAI,Verified,High,Agent Assisted,2027-06-14,2020-11-18 04:54:38,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST57729,Alejandro Valencia,Employee ID,EMP358862,2020-02-17,2027-01-06,Regional Transport Office,Pending,Medium,Online,2026-04-24,2022-05-18 13:14:50,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST59945,Janet Stark,Passport,PAS114354,2022-06-01,2030-09-07,Income Tax Dept,Verified,Low,Branch Visit,2027-03-23,2024-10-08 12:09:49,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST16103,David Pruitt,National ID,NAT184510,2019-04-21,2028-10-31,UIDAI,Pending,Medium,Agent Assisted,2026-04-18,2022-04-30 11:05:39,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST68788,Dana Hanna,Employee ID,EMP610228,2018-01-21,2028-05-14,Election Commission,Verified,Medium,Online,2026-02-10,2023-05-05 10:51:57,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST34098,James Howard,Passport,PAS396690,2017-10-23,2032-10-12,UIDAI,Rejected,Medium,Agent Assisted,2026-09-19,2023-12-16 22:11:10,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST91370,Carrie Vincent,Aadhaar Card,AAD990404,2016-04-28,2026-08-26,Income Tax Dept,Verified,Low,Agent Assisted,2026-12-01,2024-07-02 08:59:44,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST66941,John Singh,Voter ID,VOT429185,2022-05-14,2028-11-14,Govt of India,Rejected,Low,Branch Visit,2026-11-04,2022-08-16 20:42:21,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST32224,Shawn Patel,Aadhaar Card,AAD312615,2018-05-08,2026-07-31,Govt of India,Verified,Medium,Agent Assisted,2026-09-15,2020-09-06 16:11:36,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST60727,Cynthia Cain,Driving License,DRI996816,2024-03-20,2031-12-12,Income Tax Dept,Verified,Low,Branch Visit,2026-09-28,2021-04-11 07:15:12,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST80553,Kimberly Callahan,Aadhaar Card,AAD909960,2019-03-28,2033-03-18,Income Tax Dept,Verified,High,Online,2025-12-19,2021-08-28 23:57:55,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST55403,Raymond Mann,Bank Statement,BAN372549,2023-08-11,2026-10-18,Election Commission,Rejected,High,Agent Assisted,2027-05-19,2020-07-03 18:42:35,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST99523,Elizabeth Price,PAN Card,PAN683043,2016-04-11,2028-05-13,Election Commission,Rejected,High,Branch Visit,2026-10-26,2020-06-05 12:56:23,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST66613,Miguel Williams,Driving License,DRI306405,2018-04-25,2030-12-21,UIDAI,Rejected,High,Branch Visit,2027-01-01,2021-10-10 14:22:19,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST72704,Rebecca Baird,National ID,NAT637464,2020-01-05,2030-02-20,Income Tax Dept,Pending,Medium,Branch Visit,2027-07-18,2024-09-07 08:56:00,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST54666,Mrs. Robin Shaw,Voter ID,VOT538104,2018-08-11,2033-02-21,Income Tax Dept,Rejected,Medium,Agent Assisted,2027-07-05,2020-03-15 13:52:32,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST40139,Debbie Adams,Driving License,DRI482573,2017-05-31,2029-12-10,Income Tax Dept,Pending,Medium,Agent Assisted,2026-12-30,2020-08-17 22:02:34,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST92973,Tristan Hobbs,PAN Card,PAN386629,2019-08-23,2035-02-04,UIDAI,Rejected,Low,Branch Visit,2026-08-06,2020-03-13 03:17:49,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST74981,Margaret Morris,Passport,PAS127202,2016-03-04,2033-01-21,Govt of India,Rejected,Low,Online,2027-07-21,2020-05-23 07:13:48,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST67415,Anthony Rodgers,Aadhaar Card,AAD425638,2020-10-03,2028-12-16,Regional Transport Office,Pending,High,Branch Visit,2026-01-16,2022-02-27 09:02:26,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST57105,Jessica Smith,Voter ID,VOT513693,2019-12-22,2027-01-30,Govt of India,Verified,Low,Branch Visit,2027-01-26,2020-01-18 01:34:01,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST93013,Sara Goodwin,Bank Statement,BAN931641,2017-06-07,2033-09-05,Govt of India,Verified,High,Agent Assisted,2026-04-03,2023-06-16 00:50:24,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST37434,Katie Parker,Aadhaar Card,AAD989097,2022-04-26,2029-03-05,Regional Transport Office,Rejected,High,Agent Assisted,2026-03-27,2021-08-02 03:50:43,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST63946,Brittney Medina,Voter ID,VOT982559,2024-04-17,2027-06-23,UIDAI,Verified,Medium,Branch Visit,2027-10-05,2024-12-21 13:15:03,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST40021,Anthony Arias,Bank Statement,BAN597116,2022-08-25,2027-06-21,Election Commission,Rejected,Medium,Branch Visit,2026-01-02,2024-08-02 18:24:33,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST11346,Tyler Macdonald,Passport,PAS202928,2021-07-18,2029-01-10,Income Tax Dept,Rejected,High,Agent Assisted,2027-07-17,2020-10-01 22:19:42,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST32464,Keith Williams,Passport,PAS432786,2017-06-25,2035-09-18,Election Commission,Rejected,High,Online,2026-02-25,2022-06-23 18:34:18,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST87838,Elizabeth Wilson,Bank Statement,BAN803236,2018-06-11,2026-02-21,Govt of India,Rejected,Low,Online,2027-02-04,2024-02-19 03:58:30,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST79715,Christopher Mason,Aadhaar Card,AAD324687,2017-06-06,2033-05-20,UIDAI,Pending,Medium,Agent Assisted,2026-05-07,2022-05-24 05:52:52,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST69322,Matthew Shepherd,National ID,NAT141847,2017-09-05,2033-10-29,Income Tax Dept,Verified,Low,Online,2027-05-22,2023-10-26 23:47:57,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST12832,Anthony Garza,Driving License,DRI779710,2024-05-25,2034-02-11,Election Commission,Verified,Medium,Agent Assisted,2027-09-12,2021-10-17 06:40:42,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST34474,Randy Warner,Voter ID,VOT495138,2024-03-29,2029-04-13,Election Commission,Rejected,High,Online,2026-06-02,2024-09-26 03:31:55,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST37232,Samuel Green,Bank Statement,BAN747877,2020-01-15,2031-10-29,Income Tax Dept,Verified,Low,Agent Assisted,2027-05-02,2021-03-24 16:08:49,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST80951,Jacqueline Valdez,Employee ID,EMP989462,2017-01-11,2034-04-20,Election Commission,Verified,High,Online,2026-03-18,2020-01-08 21:36:31,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST96743,Tammy Watkins,Bank Statement,BAN112611,2016-10-06,2027-07-29,Election Commission,Rejected,High,Online,2027-10-09,2022-06-16 16:24:16,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST87193,Jessica Moses,National ID,NAT847864,2023-09-02,2035-08-06,UIDAI,Verified,High,Agent Assisted,2027-03-22,2020-05-10 05:57:57,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST27009,Desiree Woods,National ID,NAT656500,2024-04-21,2027-01-11,Govt of India,Pending,Medium,Branch Visit,2027-07-04,2020-07-12 02:26:03,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST29082,Garrett Wells,National ID,NAT844874,2020-03-20,2029-06-10,Govt of India,Pending,Low,Online,2026-11-04,2024-12-13 16:52:41,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST76560,Paul Peterson,Aadhaar Card,AAD652703,2018-08-23,2032-10-18,Regional Transport Office,Rejected,Low,Online,2026-03-29,2020-07-10 05:13:28,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST51455,Teresa Thompson,Driving License,DRI856775,2023-02-28,2033-03-15,Regional Transport Office,Verified,Low,Online,2027-06-24,2024-07-06 14:36:31,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST34087,Christine Haney,Voter ID,VOT105354,2021-12-25,2026-02-15,Income Tax Dept,Pending,Medium,Agent Assisted,2026-10-02,2023-04-29 14:38:39,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST18768,Randy Reed,Driving License,DRI735511,2018-09-27,2032-10-25,Regional Transport Office,Rejected,Medium,Branch Visit,2027-07-05,2022-02-06 01:14:12,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST98545,Joseph Harrison,Bank Statement,BAN650171,2019-07-19,2031-04-10,Govt of India,Verified,Medium,Online,2026-07-05,2020-10-21 14:22:09,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST87655,Christopher Scott,Aadhaar Card,AAD179300,2016-02-06,2029-11-14,UIDAI,Rejected,Medium,Online,2026-11-22,2020-06-28 08:01:48,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST41288,Mrs. April Martinez MD,Driving License,DRI657496,2016-07-10,2032-12-20,Income Tax Dept,Pending,Low,Agent Assisted,2026-10-25,2024-01-17 10:51:37,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST44663,Joanna Hawkins,PAN Card,PAN480831,2024-09-23,2030-01-13,UIDAI,Rejected,Medium,Agent Assisted,2027-07-31,2022-08-27 07:46:49,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST47853,Brandon Williams,Bank Statement,BAN543014,2018-09-05,2027-04-27,Regional Transport Office,Rejected,Medium,Branch Visit,2026-04-18,2022-07-28 11:51:28,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST54915,Margaret Snyder,National ID,NAT325359,2021-01-23,2030-09-15,Election Commission,Rejected,Medium,Agent Assisted,2027-03-17,2021-11-15 23:15:12,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST78250,Shelby Oliver,Voter ID,VOT746915,2023-02-11,2026-11-14,UIDAI,Pending,High,Branch Visit,2025-11-03,2020-09-06 09:04:48,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST42945,Daniel Herrera,Aadhaar Card,AAD986256,2016-12-04,2032-06-30,Election Commission,Pending,Low,Agent Assisted,2026-10-27,2020-03-26 12:20:07,Customer Identification Management,Customer,Identification,Customer Identification Documents
