Customer_ID,Customer_Name,Gender,Date_of_Birth,Age,Email,Phone_Number,Onboarding_Date,Onboarding_Channel,KYC_Status,Region,Employment_Status,Industry,Job_Title,Employer_Name,Annual_Income_Bracket,Years_of_Experience,Verification_Status,Onboarding_Officer,Remarks
CUST3050,Vanessa Weiss,Male,1952-08-29,73,aprice@yahoo.com,(941)018-8010x28733,2024-09-03,Agent Assisted,Pending,South,Unemployed,Retail,Teacher,"Juarez, Ward and Mason",5L-10L,29,Failed,Dr. Elizabeth Chandler,Employment proof under review
CUST3051,Tina Welch,Male,1952-05-19,73,coopermegan@yahoo.com,888.672.3468,2024-10-16,Agent Assisted,Pending,West,Unemployed,Manufacturing,Executive,Ferguson-Haney,>20L,29,In Progress,Amy Norton,KYC pending
CUST3052,Jimmy Matthews,Other,1974-11-29,51,emiller@harvey.com,(052)983-2245x23287,2024-11-07,Online,Completed,Central,Student,Education,Executive,Powers and Sons,5L-10L,15,Failed,Kelsey Long,Employment proof under review
CUST3053,Tami Wilson,Other,1969-03-12,56,michellewhite@gmail.com,(360)861-9262x45725,2025-05-21,Mobile App,Rejected,North,Self-Employed,Government,Manager,Rowe LLC,2L-5L,1,Verified,Adrian Ward,Follow-up required
CUST3054,Dr. Chloe Smith,Other,1963-11-06,62,dparks@cooke-gordon.com,+1-534-253-1337x4261,2022-05-10,Mobile App,Pending,Central,Student,Retail,Executive,"Rivers, Banks and Hart",5L-10L,32,In Progress,Stephanie Miller,Smooth onboarding
CUST3055,Jessica Johnson,Other,1972-08-26,53,cindy52@garza.com,+1-685-185-0068x49192,2023-11-28,Online,Completed,South,Self-Employed,Retail,Analyst,"Cruz, Nolan and Johnson",<2L,31,Failed,Danny Clay,Documents verified
CUST3056,Bryan Cardenas,Other,1954-01-19,71,sduncan@hotmail.com,+1-646-447-1000x19388,2025-05-21,Online,Pending,West,Self-Employed,Finance,Officer,Diaz and Sons,>20L,20,Failed,Eric Pacheco,Documents verified
CUST3057,Tammy Oliver,Female,1975-12-25,50,zhunt@cannon-tucker.info,256-780-6127x934,2022-02-25,Agent Assisted,Pending,East,Unemployed,Healthcare,Executive,"Daniels, Jones and Jackson",2L-5L,28,Verified,Bryan Butler,KYC pending
CUST3058,Erin Smith,Other,1997-07-04,28,btodd@yahoo.com,707-286-2661,2024-12-01,Agent Assisted,Completed,North,Retired,Healthcare,Teacher,"Smith, Thomas and Nash",5L-10L,22,Verified,Dana Harris,Documents verified
CUST3059,Martha Cole,Male,2004-02-09,21,bshea@yahoo.com,651.364.7151x2638,2023-11-23,Branch Visit,Rejected,East,Student,Finance,Analyst,Ray-Smith,>20L,23,In Progress,Paul Pierce,Documents verified
CUST3060,David Lin,Female,2001-01-12,24,rpeters@gmail.com,087.761.7155x46398,2023-09-05,Mobile App,Pending,West,Retired,Education,Officer,Holloway-Johnston,5L-10L,4,Failed,Angie Rose,High potential customer
CUST3061,Jacob Davis,Other,1998-09-18,27,ybenjamin@yahoo.com,001-068-399-6871x881,2022-03-24,Agent Assisted,Rejected,Central,Employed,IT,Officer,Harris-Hawkins,<2L,14,Failed,Gregory Owen,Documents verified
CUST3062,Ronald Patrick,Female,1959-07-15,66,esnow@butler.biz,+1-182-666-6151,2022-05-01,Agent Assisted,Completed,Central,Student,IT,Executive,"Kelly, Pennington and Owens",10L-20L,33,Failed,Ruth Hartman,Follow-up required
CUST3063,Michael Sutton,Male,1958-11-01,67,douglas53@lopez.info,881-228-8170,2022-01-22,Mobile App,Completed,North,Unemployed,Finance,Officer,"Boone, Clark and Washington",<2L,39,Failed,John Barron,Follow-up required
CUST3064,Jesse Mccullough,Female,1995-10-05,30,joshua44@hotmail.com,001-470-370-4037x215,2022-10-26,Agent Assisted,Completed,South,Retired,Government,Officer,Patterson-Moore,5L-10L,0,In Progress,Andrew Gardner,Documents verified
CUST3065,Ashley Vincent,Female,1950-11-20,75,spencerpamela@gaines.com,001-751-698-8101x418,2022-08-11,Agent Assisted,Rejected,Central,Student,IT,Engineer,"Campbell, Adams and Dickson",>20L,25,Failed,Lisa Gonzales,Documents verified
CUST3066,Randy Quinn,Other,1985-12-14,40,fosterclinton@yahoo.com,080.116.0294x0249,2021-11-25,Mobile App,Pending,North,Self-Employed,Government,Teacher,"Blackburn, Reynolds and Collier",2L-5L,32,In Progress,Mathew Bowman,KYC pending
CUST3067,Julie Hendrix,Male,1998-02-12,27,jennifergalvan@hotmail.com,846-029-6595x7897,2023-09-01,Branch Visit,Completed,Central,Self-Employed,Education,Officer,Williams-Wise,<2L,4,Verified,Blake Smith,Smooth onboarding
CUST3068,Samuel Bailey,Male,1988-01-31,37,samuel70@gmail.com,(868)001-6014x77788,2022-01-23,Online,Completed,North,Student,Education,Manager,"Lopez, Cox and Wiggins",<2L,37,Verified,Jessica Cohen,Smooth onboarding
CUST3069,Christine Carlson,Male,1982-07-16,43,hamptonmichael@yahoo.com,(009)559-7419,2022-02-21,Branch Visit,Pending,West,Self-Employed,Finance,Analyst,Wilson LLC,5L-10L,3,Verified,Zachary Jordan,Documents verified
CUST3070,Daniel Henderson,Female,1969-11-01,56,zgibbs@hotmail.com,(837)654-1963x87357,2020-11-26,Online,Pending,North,Self-Employed,Government,Director,Marks Inc,10L-20L,20,Failed,Scott Macdonald,Employment proof under review
CUST3071,Matthew Cabrera,Female,2006-04-30,19,cewing@gmail.com,001-847-153-5462x39156,2022-11-03,Branch Visit,Rejected,West,Retired,Healthcare,Analyst,Perez-Patterson,2L-5L,25,Verified,Paul Walker,Documents verified
CUST3072,Vanessa Ortiz,Other,1953-02-22,72,mccormickmichele@wyatt.com,857.604.2201x253,2023-03-11,Mobile App,Rejected,South,Self-Employed,Government,Consultant,Smith-Lambert,<2L,5,Failed,Lisa Cole,KYC pending
CUST3073,Nicole Benson,Male,1994-05-24,31,kennethmarshall@hotmail.com,702.135.7817x526,2024-07-27,Agent Assisted,Rejected,Central,Self-Employed,Education,Director,Mendez PLC,>20L,6,Verified,Crystal Alvarez,Follow-up required
CUST3074,Shaun Thompson,Female,1957-01-08,68,cathy17@yahoo.com,+1-598-310-1289x24639,2022-01-20,Online,Completed,South,Self-Employed,Healthcare,Director,Smith-Benjamin,>20L,21,In Progress,Melissa Reid,Employment proof under review
CUST3075,Christine Shaffer,Other,2001-04-29,24,torresanthony@martin.biz,6623161391,2024-12-12,Mobile App,Rejected,South,Retired,Healthcare,Officer,Hooper-Lloyd,2L-5L,12,In Progress,Sheryl Robles,Documents verified
CUST3076,Mark Smith,Female,1998-09-07,27,umitchell@hotmail.com,057.926.3510,2024-11-17,Online,Completed,Central,Student,Finance,Officer,Townsend-Cooper,>20L,21,In Progress,James Cole,Employment proof under review
CUST3077,Allison Harris,Male,1968-09-30,57,kingchristopher@mullen.com,+1-473-316-7326x8603,2021-09-14,Online,Completed,Central,Retired,Education,Director,Woods and Sons,2L-5L,3,In Progress,Rebecca Watson,Follow-up required
CUST3078,Heidi Henry,Female,1963-04-09,62,deandebra@yahoo.com,+1-635-814-1183x35105,2022-05-02,Branch Visit,Rejected,Central,Student,Retail,Teacher,"Rodriguez, Barron and Foley",>20L,16,Failed,Shannon Moore,Follow-up required
CUST3079,Angela Brown,Male,1992-03-14,33,james11@lowe.com,+1-245-629-6967x99935,2023-12-17,Mobile App,Completed,South,Self-Employed,Government,Director,Olson-Marsh,>20L,9,In Progress,Jessica Gill,Employment proof under review
CUST3080,Mrs. Stacey Larson,Female,2007-09-04,18,zrussell@morgan-reid.com,+1-584-519-0101x407,2023-07-20,Mobile App,Rejected,West,Self-Employed,Education,Engineer,Baird-Hudson,>20L,5,In Progress,Rachel Gardner,Documents verified
CUST3081,Justin Hanson,Male,1963-03-20,62,monroesandra@gmail.com,7305534852,2025-03-15,Branch Visit,Completed,South,Student,Retail,Officer,"Stevenson, Mccormick and Ballard",<2L,2,Failed,Hunter Skinner,KYC pending
CUST3082,Alexander Hill,Female,1991-05-14,34,castillokelsey@gmail.com,(704)759-1864x521,2022-08-21,Agent Assisted,Completed,South,Student,Finance,Analyst,Ware-Garner,<2L,10,In Progress,Michael Taylor,KYC pending
CUST3083,Gwendolyn Heath,Other,1955-05-22,70,ljones@silva.com,(137)392-9225x105,2025-03-02,Agent Assisted,Pending,South,Unemployed,Manufacturing,Executive,"Osborne, Beasley and Snow",2L-5L,18,In Progress,Nicholas Abbott,Documents verified
CUST3084,Amanda Harmon,Female,1981-07-03,44,oshah@gmail.com,001-199-179-1778x064,2024-05-12,Branch Visit,Pending,Central,Self-Employed,Healthcare,Manager,Tyler Group,2L-5L,13,Failed,Tammie Hall,Follow-up required
CUST3085,Joshua Oneill,Male,1957-01-29,68,johnsonmaria@gmail.com,111.022.7734x59234,2021-12-22,Branch Visit,Rejected,Central,Employed,Retail,Consultant,Morgan and Sons,>20L,8,In Progress,Jason Wilson,KYC pending
CUST3086,Felicia Reed,Other,1980-06-18,45,whitetimothy@yahoo.com,+1-813-942-2130x13855,2023-08-21,Online,Completed,South,Retired,Education,Executive,Hobbs LLC,5L-10L,33,In Progress,Connie Melendez,Documents verified
CUST3087,Sherry Nash,Female,1980-04-01,45,stephanie71@yahoo.com,454.346.8101x2394,2021-03-31,Branch Visit,Rejected,North,Unemployed,Healthcare,Consultant,"Rodriguez, Johnson and Gillespie",10L-20L,11,Verified,Jonathan Deleon,Employment proof under review
CUST3088,Ralph Robinson,Female,1992-02-17,33,sarahberg@hotmail.com,306.904.1908,2024-11-08,Mobile App,Completed,North,Employed,Manufacturing,Analyst,Ray Ltd,2L-5L,32,In Progress,Patricia Aguilar,Follow-up required
CUST3089,Lindsey Harper,Female,1972-05-09,53,hensonkyle@gmail.com,(412)764-8520,2022-01-16,Online,Pending,West,Student,Finance,Engineer,"Small, Mcgee and Rivera",>20L,3,In Progress,Mathew Jones,Employment proof under review
CUST3090,Derek Krause,Other,1995-01-10,30,benjaminwilkins@spencer.org,(035)929-4076,2023-12-11,Agent Assisted,Completed,East,Retired,Manufacturing,Executive,White-Preston,2L-5L,29,Failed,Diana Brady,Employment proof under review
CUST3091,Brandy Everett,Female,2005-04-08,20,nicoleward@holt.com,001-275-901-2599x8707,2023-08-31,Online,Completed,West,Unemployed,Government,Consultant,Wolf LLC,<2L,12,Verified,Sarah Cole,Smooth onboarding
CUST3092,Laura Burgess,Other,1962-04-18,63,richardsonmichael@jensen-romero.com,309.839.3731x09742,2024-01-15,Agent Assisted,Pending,Central,Employed,IT,Consultant,Holder Inc,>20L,21,Failed,Aaron Shepherd,Documents verified
CUST3093,Joshua Serrano,Male,1995-12-02,30,kathleenadams@patton-blackwell.biz,731-687-3449x5262,2022-08-24,Agent Assisted,Rejected,South,Self-Employed,Healthcare,Analyst,Gilmore PLC,2L-5L,36,Failed,Peggy Mueller,Follow-up required
CUST3094,Timothy Roberson,Male,1999-06-12,26,stephen09@armstrong.org,+1-619-498-4513x952,2024-07-04,Online,Rejected,Central,Retired,Retail,Manager,"Gutierrez, Porter and Silva",5L-10L,26,In Progress,Steven Vargas,KYC pending
CUST3095,Emily Hall,Male,1953-08-12,72,ayoung@davis.net,+1-772-168-7373x4336,2024-12-26,Mobile App,Completed,East,Employed,Manufacturing,Executive,Rogers Inc,10L-20L,12,Verified,Miss Amanda Howard,Smooth onboarding
CUST3096,Timothy Joseph,Male,1989-12-18,36,kwilliams@russo.com,001-953-223-0989x46395,2021-03-12,Mobile App,Pending,East,Self-Employed,Government,Manager,Blackburn Ltd,5L-10L,32,Failed,Antonio Nguyen,Smooth onboarding
CUST3097,Cathy Woodward,Other,1998-01-25,27,craig69@hotmail.com,(703)785-4718x252,2020-12-06,Online,Completed,East,Self-Employed,Manufacturing,Teacher,"Smith, Owen and Patrick",>20L,36,Failed,Joshua Miller,Follow-up required
CUST3098,Sharon Hernandez,Male,1994-05-20,31,matthewserrano@yahoo.com,735-680-2594,2023-06-05,Online,Completed,South,Student,Education,Engineer,"Moody, Fisher and Rodriguez",<2L,33,Failed,David Clark,Smooth onboarding
CUST3099,Robert Anderson,Female,2003-11-27,22,caitlin80@hotmail.com,+1-112-333-1554x2047,2021-01-02,Online,Rejected,South,Employed,Manufacturing,Consultant,Simpson-Mendoza,10L-20L,17,Verified,Shannon Cobb,Documents verified
CUST3100,Samantha Brown,Female,1956-07-28,69,mjohnston@yahoo.com,+1-472-372-7359x1256,2023-09-11,Online,Rejected,South,Retired,Healthcare,Director,Garcia-Hawkins,10L-20L,1,Failed,Joshua Ward,Smooth onboarding
CUST3101,Mark Craig,Other,1989-08-08,36,johnsoneddie@copeland.biz,+1-906-375-7165x8318,2025-08-01,Mobile App,Rejected,East,Student,Government,Manager,Miller and Sons,2L-5L,24,In Progress,Christopher Mills,Employment proof under review
CUST3102,Heather Harrison,Other,2006-12-17,19,michael98@ray.net,950.971.7647x28727,2023-08-19,Branch Visit,Rejected,North,Student,Healthcare,Teacher,Graham LLC,2L-5L,36,Failed,Kyle Hatfield,Follow-up required
CUST3103,Erica Franklin,Female,1988-09-01,37,fburton@duncan.com,(312)120-6064x401,2020-11-02,Agent Assisted,Rejected,West,Self-Employed,Healthcare,Teacher,Park Inc,<2L,27,Failed,Elizabeth Carroll,KYC pending
CUST3104,Jennifer Hamilton MD,Female,2005-08-18,20,ijohnson@owens.com,158.058.5226,2023-03-15,Mobile App,Pending,East,Student,Manufacturing,Analyst,Walker-Fowler,>20L,10,In Progress,Patricia Smith,KYC pending
CUST3105,Bonnie Beard,Other,1959-07-19,66,njones@adams.com,(939)400-5567x542,2020-12-08,Agent Assisted,Completed,South,Employed,Government,Manager,Fowler-Nunez,>20L,22,Failed,Rick Wilson,KYC pending
CUST3106,Alexis Savage,Other,1956-06-25,69,emily96@yahoo.com,001-308-797-9754x97025,2024-06-01,Online,Pending,North,Employed,Healthcare,Manager,Cruz Inc,10L-20L,17,Verified,Sean Lopez,Smooth onboarding
CUST3107,Angela Hale,Female,1952-12-16,73,monica48@white.com,520.164.3912,2023-10-02,Branch Visit,Rejected,West,Student,Education,Analyst,"Garcia, Mason and Vaughn",>20L,30,Failed,Erik Estrada,High potential customer
CUST3108,Michael Smith,Female,1974-12-22,51,monroesteven@hotmail.com,661.634.2885x2651,2023-07-13,Mobile App,Completed,East,Employed,Healthcare,Teacher,Lambert Inc,<2L,24,In Progress,Arthur Lopez,Smooth onboarding
CUST3109,Donna Martinez,Female,2007-01-27,18,jenniferwilson@yahoo.com,001-785-852-4888x682,2024-01-07,Mobile App,Pending,Central,Self-Employed,Healthcare,Executive,Smith Inc,5L-10L,8,In Progress,David Boyd,Documents verified
CUST3110,Eric James,Female,1997-01-08,28,pettydakota@guerrero-pittman.net,033-217-7061x51476,2020-11-24,Online,Pending,West,Employed,Healthcare,Teacher,Fowler Group,2L-5L,24,In Progress,Kelly Tran,Employment proof under review
CUST3111,Sara Jackson,Male,1981-12-05,44,portega@hotmail.com,9557027898,2022-09-25,Online,Rejected,West,Student,IT,Director,"Johnson, Yoder and Jimenez",>20L,23,Verified,Gina Mccullough,High potential customer
CUST3112,Katie Valdez,Other,1972-08-18,53,matthewhutchinson@kaufman.org,+1-541-840-0978x9035,2023-12-02,Mobile App,Pending,West,Student,Government,Teacher,Wheeler and Sons,>20L,30,Verified,April Henderson,Documents verified
CUST3113,Rebecca Jackson,Other,1987-08-09,38,ugilbert@wilson.biz,(290)329-4088x4203,2025-07-13,Branch Visit,Rejected,East,Employed,Manufacturing,Consultant,Richardson-Hayes,5L-10L,33,Verified,Leslie Anderson,Employment proof under review
CUST3114,Renee Hayes,Male,1993-03-28,32,cheryl66@williams.info,0669874123,2025-01-13,Agent Assisted,Pending,West,Retired,Manufacturing,Teacher,"Moreno, Baker and Gonzalez",10L-20L,11,Verified,Billy Rivera,Smooth onboarding
