Employee_ID,Employee_Name,Department,Job_Role,Grievance_Type,Grievance_Date,Grievance_Status,Feedback_Type,HR_Action_Taken,Resolution_Date,Notes,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0021,Employee_21,Finance,Assistant,Compensation Dispute,2025-05-29,Resolved,Negative,Training,2025-06-24 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0022,Employee_22,HR,Consultant,Harassment,2025-01-16,Resolved,Positive,Counseling,2025-02-12 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0023,Employee_23,IT,Assistant,Compensation Dispute,2025-02-25,Open,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0024,Employee_24,Sales,Analyst,Other,2025-10-15,Resolved,Positive,Mediation,2025-11-08 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0025,Employee_25,Marketing,Engineer,Other,2024-10-20,In Progress,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0026,Employee_26,Finance,Executive,Harassment,2025-05-06,Resolved,Positive,Counseling,2025-05-30 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0027,Employee_27,Marketing,Analyst,Policy Violation,2025-03-29,Resolved,Neutral,Warning,2025-04-01 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0028,Employee_28,Operations,Assistant,Other,2024-11-07,In Progress,Negative,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0029,Employee_29,IT,Assistant,Other,2024-12-17,Escalated,Positive,Counseling,2025-01-03 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0030,Employee_30,Operations,Analyst,Compensation Dispute,2024-11-26,In Progress,Negative,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0031,Employee_31,Marketing,Analyst,Policy Violation,2025-06-07,Open,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0032,Employee_32,Marketing,Consultant,Compensation Dispute,2024-10-24,In Progress,Neutral,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0033,Employee_33,Sales,Executive,Workplace Conflict,2025-08-13,Resolved,Neutral,Warning,2025-08-15 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0034,Employee_34,HR,Manager,Harassment,2025-02-26,In Progress,Neutral,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0035,Employee_35,Sales,Consultant,Other,2025-09-02,Escalated,Neutral,None,2025-09-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0036,Employee_36,IT,Consultant,Other,2025-06-12,Escalated,Positive,Warning,2025-06-28 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0037,Employee_37,Marketing,Assistant,Policy Violation,2025-08-18,Open,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0038,Employee_38,Finance,Manager,Other,2025-02-16,In Progress,Neutral,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0039,Employee_39,Operations,Executive,Policy Violation,2024-12-07,Escalated,Positive,Mediation,2024-12-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0040,Employee_40,Finance,Assistant,Other,2025-07-03,Escalated,Negative,None,2025-07-28 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0041,Employee_41,Sales,Executive,Policy Violation,2024-10-26,Open,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0042,Employee_42,IT,Engineer,Harassment,2025-09-05,In Progress,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0043,Employee_43,HR,Executive,Policy Violation,2025-06-11,Open,Negative,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0044,Employee_44,IT,Analyst,Harassment,2025-01-10,Escalated,Positive,Training,2025-01-23 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0045,Employee_45,HR,Consultant,Policy Violation,2025-04-07,Escalated,Neutral,None,2025-04-23 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0046,Employee_46,Sales,Assistant,Workplace Conflict,2024-12-02,Open,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0047,Employee_47,HR,Analyst,Workplace Conflict,2024-11-08,Resolved,Positive,Training,2024-11-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0048,Employee_48,HR,Assistant,Compensation Dispute,2024-11-21,In Progress,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0049,Employee_49,HR,Analyst,Policy Violation,2025-10-05,Open,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0050,Employee_50,Sales,Assistant,Harassment,2025-07-28,Escalated,Negative,Mediation,2025-08-18 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0051,Employee_51,Sales,Assistant,Harassment,2025-09-19,Open,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0052,Employee_52,HR,Analyst,Policy Violation,2025-07-24,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0053,Employee_53,Sales,Consultant,Workplace Conflict,2025-02-28,Escalated,Positive,Warning,2025-03-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0054,Employee_54,Marketing,Analyst,Policy Violation,2025-05-29,In Progress,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0055,Employee_55,Operations,Analyst,Policy Violation,2025-08-25,In Progress,Neutral,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0056,Employee_56,Sales,Consultant,Harassment,2025-09-04,Escalated,Negative,Warning,2025-10-02 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0057,Employee_57,IT,Consultant,Policy Violation,2025-04-03,Open,Neutral,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0058,Employee_58,Operations,Manager,Other,2025-10-08,Escalated,Positive,Training,2025-10-13 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0059,Employee_59,Sales,Manager,Harassment,2025-07-11,Escalated,Positive,Training,2025-07-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0060,Employee_60,Marketing,Executive,Policy Violation,2025-03-18,Resolved,Neutral,Training,2025-03-28 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0061,Employee_61,HR,Analyst,Compensation Dispute,2024-11-05,Escalated,Neutral,Mediation,2024-11-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0062,Employee_62,Marketing,Executive,Policy Violation,2025-05-18,In Progress,Neutral,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0063,Employee_63,Sales,Executive,Policy Violation,2025-04-02,Escalated,Positive,Mediation,2025-04-21 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0064,Employee_64,IT,Assistant,Policy Violation,2025-08-25,Escalated,Neutral,None,2025-09-17 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0065,Employee_65,Operations,Executive,Harassment,2024-11-12,Open,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0066,Employee_66,Sales,Assistant,Compensation Dispute,2025-07-08,Escalated,Positive,None,2025-07-18 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0067,Employee_67,IT,Consultant,Harassment,2025-03-25,Open,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0068,Employee_68,Finance,Manager,Policy Violation,2025-01-23,Resolved,Neutral,Warning,2025-02-06 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0069,Employee_69,Finance,Consultant,Policy Violation,2024-12-23,Resolved,Negative,Training,2024-12-24 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0070,Employee_70,IT,Engineer,Other,2025-02-01,Open,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0071,Employee_71,Sales,Engineer,Harassment,2025-08-20,Escalated,Positive,Counseling,2025-08-27 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0072,Employee_72,Sales,Analyst,Workplace Conflict,2024-11-20,In Progress,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0073,Employee_73,Finance,Engineer,Policy Violation,2025-07-24,Escalated,Negative,None,2025-08-05 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0074,Employee_74,Sales,Executive,Workplace Conflict,2025-05-24,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0075,Employee_75,Sales,Assistant,Workplace Conflict,2025-05-30,In Progress,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0076,Employee_76,Sales,Engineer,Policy Violation,2025-08-19,Open,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0077,Employee_77,Marketing,Assistant,Harassment,2025-05-03,Open,Positive,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0078,Employee_78,HR,Assistant,Harassment,2024-10-23,Open,Neutral,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0079,Employee_79,Operations,Consultant,Policy Violation,2025-09-27,Open,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0080,Employee_80,HR,Engineer,Compensation Dispute,2025-10-01,In Progress,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0081,Employee_81,Operations,Assistant,Harassment,2025-09-25,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0082,Employee_82,HR,Engineer,Other,2024-10-21,In Progress,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0083,Employee_83,Sales,Consultant,Compensation Dispute,2025-08-16,In Progress,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0084,Employee_84,Finance,Assistant,Harassment,2025-06-26,Open,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0085,Employee_85,IT,Manager,Harassment,2025-01-27,In Progress,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0086,Employee_86,Sales,Executive,Compensation Dispute,2025-01-04,In Progress,Negative,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0087,Employee_87,Finance,Analyst,Harassment,2024-11-19,Escalated,Positive,None,2024-11-30 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0088,Employee_88,IT,Engineer,Other,2025-06-12,Escalated,Positive,Mediation,2025-06-26 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0089,Employee_89,Finance,Manager,Harassment,2025-03-06,Escalated,Positive,Mediation,2025-03-29 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0090,Employee_90,Finance,Executive,Other,2025-01-14,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0091,Employee_91,Finance,Executive,Harassment,2025-06-03,Escalated,Positive,Mediation,2025-06-13 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0092,Employee_92,Operations,Executive,Workplace Conflict,2024-11-29,Resolved,Negative,Warning,2024-12-20 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0093,Employee_93,Marketing,Engineer,Harassment,2025-01-11,Escalated,Positive,Counseling,2025-02-06 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0094,Employee_94,IT,Analyst,Compensation Dispute,2025-06-15,Open,Positive,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0095,Employee_95,Operations,Executive,Workplace Conflict,2025-05-18,Open,Positive,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0096,Employee_96,Operations,Consultant,Other,2025-07-19,In Progress,Positive,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0097,Employee_97,Finance,Executive,Policy Violation,2025-01-24,Escalated,Positive,Warning,2025-01-30 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0098,Employee_98,Operations,Engineer,Policy Violation,2025-05-06,Open,Negative,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0099,Employee_99,HR,Executive,Harassment,2024-11-27,Open,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0100,Employee_100,HR,Manager,Policy Violation,2025-01-29,Open,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0101,Employee_101,IT,Manager,Workplace Conflict,2024-12-13,In Progress,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0102,Employee_102,Finance,Consultant,Other,2025-04-19,Open,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0103,Employee_103,Marketing,Engineer,Policy Violation,2025-07-22,Escalated,Positive,Counseling,2025-07-28 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0104,Employee_104,Finance,Engineer,Other,2025-05-16,Resolved,Positive,Mediation,2025-06-14 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0105,Employee_105,HR,Consultant,Other,2025-10-02,In Progress,Positive,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0106,Employee_106,Finance,Consultant,Compensation Dispute,2025-09-20,Resolved,Negative,Counseling,2025-09-29 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0107,Employee_107,Sales,Assistant,Policy Violation,2025-01-29,In Progress,Positive,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0108,Employee_108,Sales,Executive,Workplace Conflict,2025-06-06,In Progress,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0109,Employee_109,HR,Analyst,Other,2024-12-02,Open,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0110,Employee_110,IT,Analyst,Compensation Dispute,2025-07-26,Resolved,Neutral,Mediation,2025-07-27 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0111,Employee_111,Operations,Executive,Other,2025-05-24,Open,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0112,Employee_112,Operations,Consultant,Harassment,2025-09-08,Resolved,Positive,None,2025-09-26 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0113,Employee_113,IT,Engineer,Harassment,2024-11-07,In Progress,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0114,Employee_114,IT,Consultant,Other,2025-04-08,In Progress,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0115,Employee_115,HR,Executive,Compensation Dispute,2025-08-12,Open,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0116,Employee_116,Sales,Analyst,Policy Violation,2025-01-19,Resolved,Negative,Training,2025-01-27 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0117,Employee_117,Sales,Analyst,Compensation Dispute,2025-04-28,In Progress,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0118,Employee_118,Marketing,Engineer,Compensation Dispute,2025-09-26,Open,Neutral,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0119,Employee_119,Finance,Assistant,Compensation Dispute,2024-11-27,Resolved,Neutral,Warning,2024-12-03 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0120,Employee_120,Sales,Executive,Harassment,2025-02-25,Escalated,Negative,Counseling,2025-03-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0121,Employee_121,Sales,Assistant,Compensation Dispute,2025-02-08,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0122,Employee_122,IT,Assistant,Harassment,2025-01-24,In Progress,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0123,Employee_123,Marketing,Assistant,Policy Violation,2025-05-09,Resolved,Negative,None,2025-05-28 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0124,Employee_124,IT,Consultant,Policy Violation,2025-07-15,Escalated,Positive,Mediation,2025-07-17 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0125,Employee_125,HR,Engineer,Harassment,2025-09-24,In Progress,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0126,Employee_126,Finance,Engineer,Policy Violation,2025-09-04,Resolved,Neutral,Warning,2025-09-06 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0127,Employee_127,IT,Executive,Policy Violation,2025-08-30,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0128,Employee_128,IT,Executive,Other,2025-09-11,Escalated,Positive,None,2025-09-27 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0129,Employee_129,Sales,Engineer,Workplace Conflict,2025-06-16,Open,Positive,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0130,Employee_130,Sales,Analyst,Policy Violation,2025-06-27,Escalated,Positive,Training,2025-07-03 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0131,Employee_131,IT,Analyst,Other,2025-10-17,Resolved,Negative,Training,2025-11-03 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0132,Employee_132,Operations,Assistant,Harassment,2025-03-21,Open,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0133,Employee_133,Sales,Manager,Compensation Dispute,2025-04-28,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0134,Employee_134,Operations,Analyst,Policy Violation,2025-05-30,Escalated,Negative,Training,2025-06-21 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0135,Employee_135,Operations,Assistant,Harassment,2025-08-30,Escalated,Negative,Mediation,2025-09-13 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0136,Employee_136,HR,Executive,Other,2025-10-04,Resolved,Neutral,Warning,2025-10-29 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0137,Employee_137,HR,Executive,Policy Violation,2025-07-18,In Progress,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0138,Employee_138,Sales,Executive,Compensation Dispute,2025-07-06,Resolved,Neutral,Mediation,2025-08-01 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0139,Employee_139,IT,Executive,Harassment,2025-04-28,Open,Neutral,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0140,Employee_140,Sales,Engineer,Compensation Dispute,2025-07-01,Resolved,Neutral,Counseling,2025-07-11 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0141,Employee_141,HR,Consultant,Compensation Dispute,2025-10-10,In Progress,Negative,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0142,Employee_142,IT,Assistant,Harassment,2025-04-18,Open,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0143,Employee_143,HR,Executive,Other,2025-06-07,Open,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0144,Employee_144,Finance,Assistant,Workplace Conflict,2025-10-14,In Progress,Positive,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0145,Employee_145,Finance,Assistant,Other,2024-11-20,In Progress,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0146,Employee_146,Finance,Consultant,Compensation Dispute,2025-09-22,Escalated,Positive,Mediation,2025-10-21 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0147,Employee_147,Finance,Executive,Workplace Conflict,2025-07-08,Escalated,Neutral,Training,2025-07-10 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0148,Employee_148,HR,Analyst,Policy Violation,2025-05-23,Open,Negative,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0149,Employee_149,HR,Assistant,Policy Violation,2025-09-16,Open,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0150,Employee_150,Marketing,Analyst,Other,2025-10-13,Open,Neutral,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0151,Employee_151,HR,Manager,Harassment,2025-06-06,Resolved,Negative,Warning,2025-06-17 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0152,Employee_152,HR,Analyst,Other,2024-10-22,Escalated,Neutral,Counseling,2024-10-27 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0153,Employee_153,IT,Engineer,Harassment,2025-01-30,In Progress,Negative,None,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0154,Employee_154,Finance,Executive,Compensation Dispute,2025-05-08,Escalated,Neutral,None,2025-06-02 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0155,Employee_155,Sales,Manager,Workplace Conflict,2024-10-30,Escalated,Negative,Training,2024-11-18 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0156,Employee_156,IT,Manager,Compensation Dispute,2025-02-17,Resolved,Neutral,Training,2025-02-18 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0157,Employee_157,Operations,Engineer,Other,2025-05-05,Escalated,Negative,Training,2025-05-30 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0158,Employee_158,Finance,Manager,Harassment,2025-06-09,Escalated,Positive,Training,2025-07-08 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0159,Employee_159,Finance,Executive,Compensation Dispute,2025-09-13,Resolved,Negative,Mediation,2025-09-25 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0160,Employee_160,Finance,Assistant,Policy Violation,2025-02-01,In Progress,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0161,Employee_161,IT,Manager,Workplace Conflict,2025-07-13,Resolved,Positive,Training,2025-07-16 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0162,Employee_162,Operations,Manager,Compensation Dispute,2025-06-05,Open,Negative,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0163,Employee_163,HR,Manager,Harassment,2025-04-01,Escalated,Negative,Mediation,2025-04-14 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0164,Employee_164,Finance,Consultant,Workplace Conflict,2025-02-08,In Progress,Negative,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0165,Employee_165,Finance,Assistant,Other,2025-09-20,In Progress,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0166,Employee_166,Operations,Executive,Compensation Dispute,2025-01-14,Open,Positive,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0167,Employee_167,Sales,Analyst,Other,2024-11-13,Resolved,Neutral,Training,2024-12-03 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0168,Employee_168,IT,Analyst,Policy Violation,2025-05-04,In Progress,Negative,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0169,Employee_169,HR,Executive,Harassment,2025-05-02,Escalated,Positive,Training,2025-05-05 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0170,Employee_170,IT,Executive,Policy Violation,2025-03-30,Resolved,Neutral,Training,2025-04-15 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0171,Employee_171,Marketing,Analyst,Policy Violation,2025-08-31,Open,Neutral,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0172,Employee_172,Sales,Executive,Policy Violation,2025-01-18,Escalated,Negative,Mediation,2025-02-06 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
