Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Report ID,Department,Region,Report Status,Submission Date,Reviewer Name,Compliance Score,Remarks
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,2e777b42-85f1-4fe3-9f5b-4d19b2ccf307,Operations,EMEA,Submitted,2025-06-24,Kristi Summers,77.68,Sort article our glass leader medical well race.
Operational Risk,Regulatory Affairs,Compliance Monitoring,Prepare Regulatory Reports,Transparency,Regulatory Data,Prepare Regulatory Reports,97b903fa-7fc7-4cd6-8486-4e9c1d992c35,Legal,Americas,Rejected,2025-04-28,Philip Diaz,91.99,Play son air thank degree religious.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Compliance,Compliance Data,Prepare Regulatory Reports,834ba18c-b345-4f1a-8a4b-7022dbd9a2fa,Legal,Americas,In Review,2025-04-23,Amanda Carter,93.57,Machine conference table picture ever.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Compliance Data,Review Compliance Reports,4d79b3ba-bc53-4e12-9f7f-342f73c8e8e0,Finance,APAC,Pending,2025-04-05,Tiffany Castillo,99.89,Begin anything open major both.
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,d2d9a386-b517-40fc-a372-320682693a51,Operations,Americas,Rejected,2025-08-17,Elizabeth Lynch MD,77.87,Woman TV director answer civil sea.
Operational Risk,Compliance Governance,Regulatory Compliance,Submit Compliance Filings,Transparency,Audit Data,Prepare Regulatory Reports,9edcf4d9-bfaf-4fc7-a820-e552bf600e3d,Legal,Americas,Submitted,2025-05-15,Joshua Jones,86.12,Keep on line trial government.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Audit Data,Review Compliance Reports,a5abe1f3-8068-43e7-99a4-dbd20dac0603,Operations,EMEA,In Review,2025-08-05,Michael Hart,99.64,Probably maybe fact threat organization.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Governance,Audit Data,Validate Submissions,7f1db1c2-c2fa-4cc0-8e10-2ef3db91c848,Legal,APAC,Rejected,2025-08-10,Rachel Gibson,91.06,Man break industry well community.
Operational Risk,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Governance,Compliance Data,Validate Submissions,9f185fd0-6980-423f-b846-c4c9752ad3ae,Compliance,APAC,Submitted,2025-08-14,Tiffany Collins,84.22,Himself east order dog Democrat could too.
Operational Risk,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Regulatory Data,Review Compliance Reports,cb45ada9-8e60-4277-a25b-a214f8ba4216,Legal,EMEA,In Review,2025-01-28,Erica Jenkins,98.72,Country environmental deep song film fight.
Regulatory Oversight,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Prepare Regulatory Reports,2f781e0a-630b-4128-b87e-97eff22c63d1,Finance,EMEA,Approved,2025-08-19,Christopher Hall,90.29,However east camera both.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Compliance Data,Validate Submissions,1b63bea9-04c2-4a2c-9aed-5ef7cc18ee24,Legal,EMEA,Submitted,2025-03-01,Joseph Hernandez,71.68,Eye range less least employee condition brother.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Prepare Regulatory Reports,dc1d4116-295c-4a59-8db2-af2fb4266d8b,Legal,EMEA,Rejected,2025-04-12,Mary Terry,98.1,Establish spring rather middle long role.
Operational Risk,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Governance,Audit Data,Prepare Regulatory Reports,754d3e0d-f51e-4f37-b9ae-4e0c00cf838d,Finance,APAC,Pending,2025-01-20,Tammy Garcia,94.85,We Mr environment fast quite.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Prepare Regulatory Reports,4dc0e198-034c-4774-b3cd-ccd6ccd482c0,Operations,EMEA,Submitted,2025-01-17,Brenda Gordon,81.87,Vote so participant myself feeling standard.
Operational Risk,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Compliance,Audit Data,Prepare Regulatory Reports,d9670e66-f466-4da6-a2b1-0fab39fcec76,Finance,APAC,Pending,2025-07-09,Kara Brown,70.33,Book hot bill article upon region.
Risk Management,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Prepare Regulatory Reports,94d65fa1-992a-4201-90d7-5db7ea40dd52,Operations,EMEA,Approved,2025-04-08,Michael Schaefer,77.9,Film positive same sense newspaper.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Regulatory Data,Prepare Regulatory Reports,6be33885-8e9f-438c-8750-ee0c587fec48,Finance,Americas,Submitted,2025-03-12,Melody Murphy,83.98,Popular it today.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Submit Compliance Filings,Compliance,Compliance Data,Review Compliance Reports,cd509400-1460-4c2c-870b-12018dd3a02f,Legal,APAC,In Review,2025-03-19,Julia Baldwin,75.17,Business almost left early rate accept.
Operational Risk,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,80a5e207-0b10-4c0a-9866-800542b233c5,Finance,EMEA,Rejected,2025-08-22,Gregory Johnson,79.82,Rise traditional provide how wind.
Risk Management,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Transparency,Regulatory Data,Review Compliance Reports,6aa68c38-1c26-4513-a96b-253f663f380d,Operations,EMEA,Pending,2025-05-02,Daniel Munoz,94.73,Specific evidence smile government early ever.
Operational Risk,Regulatory Affairs,Compliance Monitoring,Prepare Regulatory Reports,Transparency,Audit Data,Prepare Regulatory Reports,191a2784-c6a3-4067-aa0e-34f9f2c99596,Operations,EMEA,Pending,2025-04-25,Katrina Hodges,89.53,Appear course ball thus.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Governance,Audit Data,Validate Submissions,03769d8a-7402-4d36-b061-001b1e06cfa8,Legal,APAC,Rejected,2025-09-23,Angela Nelson MD,96.78,War act production three particularly.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Governance,Audit Data,Prepare Regulatory Reports,3e004ba0-320d-4e2c-800c-4d256187c686,Finance,EMEA,Pending,2025-09-25,Michael Hubbard,98.71,Before figure within hundred moment letter responsibility.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Regulatory Data,Validate Submissions,9498c0bd-1766-4ded-b76e-ac1a8058aea3,Finance,Americas,In Review,2025-09-19,Patricia Baker,73.42,Late before into dog administration until.
Risk Management,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Governance,Audit Data,Validate Submissions,fdc5b780-8dbe-4eaf-8ac0-6c70b7e18e04,Compliance,Americas,Submitted,2025-07-15,Amanda Cline,73.15,Adult beyond down national water.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Compliance Data,Prepare Regulatory Reports,d4bdcef2-4ea9-4917-8a8a-8b30b4329220,Legal,APAC,Approved,2025-06-02,Sherry Adams,75.74,North theory manage.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Governance,Audit Data,Validate Submissions,a9edc84f-88cb-473b-876d-775541ce11d2,Legal,APAC,In Review,2025-02-10,James Smith,88.7,Hundred culture collection include music huge get.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,9920ff21-ceb3-4719-a419-dd67fbb084d3,Finance,APAC,Approved,2025-10-09,Jose Becker,80.76,Only many figure campaign store break some.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Transparency,Compliance Data,Validate Submissions,6b9d70bb-ffba-498c-baa0-2ca5edd3d64a,Legal,APAC,In Review,2025-07-08,Edward Hernandez,80.59,Whether daughter artist put or kind president civil.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Prepare Regulatory Reports,Transparency,Compliance Data,Prepare Regulatory Reports,1038bbaa-aacc-4e92-b89c-891297c5bc25,Operations,APAC,Submitted,2025-07-30,Shane Le,70.35,Be hit person evidence security site family face.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Governance,Compliance Data,Review Compliance Reports,3bbacb78-6958-417c-b32a-d33d0c02c45a,Compliance,Americas,Rejected,2025-07-29,Sherri Hall,72.04,On ago once evidence.
Operational Risk,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Transparency,Regulatory Data,Prepare Regulatory Reports,d92acd73-ccf6-4e0e-b19d-e77d5fa3d8f5,Legal,Americas,Approved,2025-08-15,Brenda Collins,89.11,Especially cut shake prove.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,0177fe72-5233-4698-a1ed-642a9b042b42,Legal,EMEA,Pending,2025-05-05,Samantha Smith,79.98,Be quality him evidence outside among research.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Prepare Regulatory Reports,48a79103-38c1-4f1b-94e0-eeced2cd1f0f,Legal,Americas,In Review,2025-06-16,Mackenzie Morris,78.73,Oil grow about recently imagine.
Risk Management,Compliance Governance,Compliance Monitoring,Audit Regulatory Processes,Governance,Compliance Data,Review Compliance Reports,2ba3d61b-363f-49c0-9fe8-a9b7181ae26c,Legal,APAC,Rejected,2025-07-07,Zachary Brown,79.59,Democrat phone no else week too.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Compliance,Regulatory Data,Prepare Regulatory Reports,1cd0b064-020c-4898-9028-e0095199ab8c,Legal,APAC,Approved,2025-09-19,Amber Moran,95.55,Instead compare speech.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Audit Regulatory Processes,Governance,Audit Data,Prepare Regulatory Reports,707f000c-f44e-447e-9a63-5aac29da8619,Compliance,Americas,Rejected,2025-08-06,Christopher Archer,79.44,Analysis doctor technology them.
Operational Risk,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Transparency,Audit Data,Prepare Regulatory Reports,80721f43-fc4b-4c64-87fb-e3ce84152036,Compliance,Americas,In Review,2025-03-19,John Klein,86.02,Wrong season sign knowledge yourself.
Regulatory Oversight,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Governance,Audit Data,Prepare Regulatory Reports,619d2c9a-61dc-4a8d-b566-5e8a33559fd0,Legal,Americas,Submitted,2025-06-25,Robert Castro,77.16,Star street else line support investment hair something.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Prepare Regulatory Reports,Transparency,Compliance Data,Prepare Regulatory Reports,50f95cbd-e522-4d38-a64c-ac5d5bd7b309,Legal,EMEA,Pending,2025-07-27,Jennifer Edwards,98.69,Indicate continue money space simply option.
Operational Risk,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Regulatory Data,Validate Submissions,c6c5bdbc-b7ca-49bf-b818-c621cf266d04,Legal,APAC,Rejected,2025-09-09,Scott Jackson,91.36,Politics anything economic station another lose compare.
Risk Management,Compliance Governance,Reporting Compliance,Audit Regulatory Processes,Governance,Audit Data,Validate Submissions,c7e530b9-447b-4615-8b47-3f1826633b16,Finance,Americas,Approved,2025-09-07,Deborah Lester,90.33,Argue however cause consider.
Risk Management,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Transparency,Regulatory Data,Prepare Regulatory Reports,8946b40c-05b2-4c89-93c3-465be8ce73d7,Legal,EMEA,Submitted,2025-02-01,Jennifer Sanders,70.76,Remain table chance article year.
Risk Management,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Regulatory Data,Validate Submissions,fe9eb98c-b602-48fd-9a75-bb17a9d050ee,Operations,EMEA,Approved,2025-03-26,Tara Ho,82.08,Imagine event she hear.
Risk Management,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Transparency,Regulatory Data,Prepare Regulatory Reports,9b490032-b565-4f35-889b-ff4918e771ac,Finance,Americas,Approved,2025-07-20,Michael Vargas,88.05,Work set trouble fight bring address season.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Governance,Regulatory Data,Prepare Regulatory Reports,9cdd778a-36dd-4e0f-ae5f-c6dba2ed7d9b,Finance,Americas,Submitted,2025-06-25,Mary Roberts,76.77,Minute plant mission national expert different song miss.
Risk Management,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Transparency,Regulatory Data,Validate Submissions,eb24dcb8-838b-46ae-9bbd-f11d87d90fd9,Finance,Americas,Pending,2025-01-06,Kendra Cain,91.29,Fund standard ahead PM sometimes.
Risk Management,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Governance,Regulatory Data,Prepare Regulatory Reports,c852075f-f684-4d25-ba62-2c27d5b7c230,Compliance,Americas,Submitted,2025-04-20,Judy Mitchell,99.02,Fund hundred peace affect short spring.
Risk Management,Risk and Compliance Operations,Compliance Monitoring,Audit Regulatory Processes,Transparency,Audit Data,Validate Submissions,1dda2cab-a76e-492e-a5aa-448195c1c49e,Compliance,Americas,Pending,2025-03-08,Matthew Alvarez,73.73,Wish floor edge pass note.
Risk Management,Regulatory Affairs,Compliance Monitoring,Audit Regulatory Processes,Governance,Audit Data,Validate Submissions,70d6ea62-14df-43b2-8d42-14ca0f8f06b7,Compliance,EMEA,Approved,2025-06-09,Mark Bowers,93.92,Short article series above with.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Submit Compliance Filings,Transparency,Regulatory Data,Review Compliance Reports,4844310e-7bdc-404d-b7e0-f0dbd07e2ce6,Compliance,Americas,Approved,2025-04-29,Peter Peterson,90.38,Political no personal approach.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Audit Data,Prepare Regulatory Reports,05eb101f-be05-4e63-abf9-6d49c0205d63,Compliance,EMEA,In Review,2025-10-13,Troy Parks,96.98,Middle and mention commercial.
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Audit Regulatory Processes,Transparency,Regulatory Data,Review Compliance Reports,be241ebc-fda4-4b4c-973e-d67a392a20fd,Legal,Americas,Submitted,2025-05-30,Danielle Garcia,80.13,Material light good current ball heavy either.
Regulatory Oversight,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Compliance,Regulatory Data,Prepare Regulatory Reports,7d4f7a66-df2a-4b01-9a2c-0ea34bebbdf2,Operations,Americas,Approved,2025-09-19,Clifford Hubbard,71.74,Stay along newspaper step without team area arrive.
Operational Risk,Compliance Governance,Reporting Compliance,Audit Regulatory Processes,Transparency,Audit Data,Review Compliance Reports,4f2d7531-3794-447f-a5af-f2929951bc92,Finance,APAC,Rejected,2025-06-20,Taylor Dixon,89.41,Computer whom enough bad itself.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Compliance,Audit Data,Prepare Regulatory Reports,8a3a04d7-5cfb-4e8a-91b2-b42c63bf855f,Operations,EMEA,Rejected,2025-06-15,Michael Mendez,83.97,Get production effort them claim production.
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Compliance,Regulatory Data,Validate Submissions,d22e171f-6335-4f3a-8f65-e2a38d767994,Operations,APAC,In Review,2025-08-12,Jeremy Brown,96.1,Above pick drop religious.
Operational Risk,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Governance,Regulatory Data,Prepare Regulatory Reports,51a2cd1f-a891-4f90-a3a1-6a7f6d0f361e,Operations,APAC,Submitted,2025-05-20,Denise Woods MD,79.25,Style check bill your area thus loss.
Regulatory Oversight,Compliance Governance,Compliance Monitoring,Audit Regulatory Processes,Governance,Compliance Data,Validate Submissions,26b470cb-196b-49fd-bf7c-1221f0ce1606,Finance,EMEA,Pending,2025-08-16,Melissa Cross,78.47,Behavior wife television see actually.
Regulatory Oversight,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Governance,Audit Data,Prepare Regulatory Reports,47a36812-593b-43c1-814b-faea2d29a149,Finance,EMEA,Rejected,2025-03-20,Cheyenne Martinez,71.54,Production spring if campaign fight may.
Operational Risk,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Compliance,Audit Data,Prepare Regulatory Reports,691b6124-8b21-4c6e-9e88-142c1be3281d,Finance,Americas,Submitted,2025-02-01,Alicia Hoffman,76.66,Happy yes threat daughter argue.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,6b3ef924-2eee-4146-aacc-3babe7def7fa,Operations,APAC,Rejected,2025-07-31,Jordan Stone,74.48,Stay behind use quality career.
Regulatory Oversight,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Compliance,Compliance Data,Validate Submissions,6a468ed4-3e8a-453c-b607-efe396c9dffb,Compliance,EMEA,Approved,2025-04-07,Gregory Kelley,98.0,Have partner risk fast current staff grow.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Transparency,Compliance Data,Prepare Regulatory Reports,8dfd1664-39fb-40d8-879e-13a5cd90be8a,Finance,APAC,In Review,2025-05-15,Daniel Benson,81.73,Sort knowledge discuss nothing describe recent though produce.
Operational Risk,Compliance Governance,Compliance Monitoring,Audit Regulatory Processes,Compliance,Regulatory Data,Validate Submissions,93c4f640-7cbc-4dc9-815a-1315b4f5f8c3,Compliance,APAC,Pending,2025-02-10,Deborah Bass,86.08,Many single interest job.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Compliance Data,Prepare Regulatory Reports,70e81763-6cb1-4e3f-94c1-7d5467cfdd8c,Compliance,APAC,Pending,2025-09-28,Tina Riggs,70.55,Itself beautiful too find carry bar break.
Risk Management,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Compliance,Audit Data,Prepare Regulatory Reports,138dce7b-c736-4f8b-8a94-d1aed98a6c7b,Legal,APAC,Approved,2025-04-05,Sarah Williamson,72.96,Sure team near to help.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Governance,Regulatory Data,Validate Submissions,84c9435b-5e4d-41fd-812c-378811989d27,Compliance,Americas,Submitted,2025-05-18,Jennifer Solomon,74.58,Thing wind feeling some.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Compliance,Audit Data,Validate Submissions,dbf7ff18-60e3-4820-ae84-8daeb58f98f2,Compliance,EMEA,Rejected,2025-05-12,Juan Delacruz DDS,85.15,Surface south final job.
Operational Risk,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,1092cb2b-5584-47c5-b349-b1a5993e714b,Finance,Americas,Approved,2025-04-22,Bryan Woods,90.31,Include record general south.
Operational Risk,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,3688c909-0ddc-4f50-95ed-7954560d39ba,Legal,EMEA,Rejected,2025-04-28,Jacqueline Green,89.64,Despite well development age walk few.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Audit Regulatory Processes,Governance,Regulatory Data,Validate Submissions,fcd233a0-7a5a-4180-afac-52717056d313,Legal,APAC,Approved,2025-02-17,Marie Gonzalez,72.96,Third break source but.
Risk Management,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Compliance,Regulatory Data,Prepare Regulatory Reports,bb2acd32-b72d-4ccb-86bb-6cd1e0b56d11,Legal,APAC,Submitted,2025-09-01,Tricia Young,85.19,Plant sense phone why science social probably.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Prepare Regulatory Reports,d3b54f47-5c57-4462-8f02-e950e92d154e,Operations,APAC,Rejected,2025-09-18,Amy Ramos,75.97,Statement bit lose enjoy several election.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Transparency,Compliance Data,Validate Submissions,ee7ca9e2-f5f2-4c11-b2ca-817711fc9264,Operations,APAC,Approved,2025-08-17,George Young,96.79,Me cover field same rule.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Compliance Data,Validate Submissions,7eed0f26-6fac-4115-af58-11cd5b250e83,Compliance,Americas,Submitted,2025-02-25,Jane Summers,71.92,Same property allow star anything.
Risk Management,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Governance,Audit Data,Prepare Regulatory Reports,34b76098-4e6d-4dad-962b-211469b58c1b,Legal,EMEA,In Review,2025-06-07,Dr. William Robinson,75.74,Business understand industry case well play group.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Validate Submissions,1139d96e-0c00-4a0b-b0bd-1bf8f08e60fb,Compliance,Americas,Pending,2025-01-11,Shannon Hicks,70.12,Keep able shake industry.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Audit Data,Review Compliance Reports,25518165-2906-40a5-b69a-5a2bf404e7ab,Finance,EMEA,Rejected,2025-01-29,Brian Carey,71.4,Step economic enough difficult trouble.
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Audit Regulatory Processes,Compliance,Audit Data,Prepare Regulatory Reports,036e131a-536a-446f-9800-7e8022514f57,Legal,Americas,Submitted,2025-02-12,Mark Brown,93.05,Improve affect scientist.
Operational Risk,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Transparency,Compliance Data,Prepare Regulatory Reports,48dbf099-3821-42b8-9ff6-0d73854bb825,Operations,EMEA,In Review,2025-05-02,Tiffany Gould MD,96.77,Network fill more about.
Operational Risk,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Review Compliance Reports,d29399aa-dede-4797-b9cb-0e93d01789f4,Operations,Americas,Approved,2025-10-12,Heather Erickson,98.97,On stop baby important much country economic.
