feedback_id,customer_id,customer_name,product_category,product_name,feedback_channel,feedback_date,feedback_type,feedback_score,comments,agent_id,response_time_hrs,region,value_domain,data_segment,data_domain
FDB100028,CUST18627,Laura Fields,Furniture,FUR-480,In-Store Kiosk,2025-10-04,Complaint,7,Space behind boy paper ten especially media.,AGT558,2.95,West,Process,Customer Servicing,Product Feedback
FDB100029,CUST17852,Jennifer Johnson,Fashion,FAS-390,Mobile App,2025-08-15,Suggestion,6,Might culture poor over together professional.,AGT429,28.38,West,Process,Customer Servicing,Product Feedback
FDB100030,CUST14386,Raymond James,Furniture,FUR-112,Web Portal,2025-06-23,Suggestion,7,Son read reality a technology finally.,AGT454,7.72,East,Process,Customer Servicing,Product Feedback
FDB100031,CUST15677,Kenneth Hampton,Healthcare,HEA-888,Email,2024-11-08,Complaint,9,Water baby somebody myself finally with class name where house cause after also woman theory.,AGT554,12.51,Central,Process,Customer Servicing,Product Feedback
FDB100032,CUST15468,Tiffany Lopez,Automobile,AUT-444,Mobile App,2025-04-13,Complaint,9,Cup because above available admit responsibility town position father place.,AGT361,11.81,Central,Process,Customer Servicing,Product Feedback
FDB100033,CUST17503,Scott Jones,Fashion,FAS-602,Web Portal,2025-10-03,Neutral,4,Job appear check off probably investment surface.,AGT159,39.4,East,Process,Customer Servicing,Product Feedback
FDB100034,CUST10151,Jose Daugherty,Appliances,APP-587,Social Media,2024-12-25,Neutral,2,Stage our short will yourself mean peace huge big those night probably develop.,AGT236,5.34,South,Process,Customer Servicing,Product Feedback
FDB100035,CUST14916,Karen Davila,Electronics,ELE-750,In-Store Kiosk,2025-04-22,Complaint,6,Party much such year strategy TV cover attorney remember central task focus itself.,AGT928,26.27,East,Process,Customer Servicing,Product Feedback
FDB100036,CUST18344,Ashlee Banks,Healthcare,HEA-955,Email,2025-03-24,Positive,5,Plan leg good real line music war pretty while.,AGT346,1.84,East,Process,Customer Servicing,Product Feedback
FDB100037,CUST17437,Edwin Perez,Sports,SPO-354,Web Portal,2025-08-05,Negative,3,Charge involve write address clear provide center ten drop become money manage.,AGT982,10.27,East,Process,Customer Servicing,Product Feedback
FDB100038,CUST18229,David Cowan,Automobile,AUT-254,Mobile App,2024-12-13,Negative,5,Choice exist place best director arm industry significant amount.,AGT225,6.28,North,Process,Customer Servicing,Product Feedback
FDB100039,CUST12274,Deborah Lane,Sports,SPO-666,Email,2025-10-08,Neutral,9,Huge at against home.,AGT624,37.93,South,Process,Customer Servicing,Product Feedback
FDB100040,CUST12162,Robert Chen DVM,Fashion,FAS-498,Web Portal,2024-12-19,Suggestion,1,Other store door firm old baby you certain job nice themselves force less federal I property.,AGT380,47.44,East,Process,Customer Servicing,Product Feedback
FDB100041,CUST13982,Stephanie Hunt,Fashion,FAS-969,Web Portal,2025-02-07,Neutral,8,Listen hair yourself father system student future issue newspaper door.,AGT712,10.09,West,Process,Customer Servicing,Product Feedback
FDB100042,CUST13793,Richard Thomas,Electronics,ELE-770,In-Store Kiosk,2025-01-04,Suggestion,8,Such lot dream decide difficult.,AGT530,23.47,West,Process,Customer Servicing,Product Feedback
FDB100043,CUST17571,Amanda Ward,Fashion,FAS-719,In-Store Kiosk,2025-05-20,Complaint,3,Important skin song so their forward husband place tend.,AGT577,46.95,Central,Process,Customer Servicing,Product Feedback
FDB100044,CUST10789,Sandra Taylor,Appliances,APP-593,Email,2025-09-21,Positive,3,Sort treat total loss hit call article history in reach not kind.,AGT564,35.66,South,Process,Customer Servicing,Product Feedback
FDB100045,CUST16442,Russell Allen,Appliances,APP-532,In-Store Kiosk,2025-03-15,Positive,10,Understand lot yes red investment PM action to task somebody attack painting.,AGT305,35.52,North,Process,Customer Servicing,Product Feedback
FDB100046,CUST15928,Rebecca Johnson,Fashion,FAS-103,Web Portal,2025-06-11,Complaint,3,Would situation top toward off future anything probably history arrive fly feeling book who poor close imagine.,AGT860,16.17,Central,Process,Customer Servicing,Product Feedback
FDB100047,CUST10680,Gary Leonard,Furniture,FUR-561,Social Media,2025-08-28,Complaint,1,Clearly system threat six contain kitchen at conference.,AGT784,43.34,West,Process,Customer Servicing,Product Feedback
FDB100048,CUST11775,Logan Murphy,Appliances,APP-600,Mobile App,2024-10-20,Negative,4,Type environmental debate executive of act economy.,AGT315,43.01,North,Process,Customer Servicing,Product Feedback
FDB100049,CUST12085,Ashley Davis,Appliances,APP-239,Web Portal,2025-05-01,Neutral,5,Before force believe new professional a outside.,AGT920,21.88,South,Process,Customer Servicing,Product Feedback
FDB100050,CUST15408,Donna Hill,Fashion,FAS-227,Web Portal,2025-01-12,Negative,8,Name exactly course age share focus beautiful.,AGT402,46.34,West,Process,Customer Servicing,Product Feedback
FDB100051,CUST13388,Michelle Miller,Healthcare,HEA-546,Web Portal,2025-08-04,Suggestion,3,Someone television blue land wall dinner check boy on home almost charge another baby mother customer.,AGT133,20.35,East,Process,Customer Servicing,Product Feedback
FDB100052,CUST19892,Christine Williams,Automobile,AUT-761,In-Store Kiosk,2025-04-24,Neutral,3,Special quality space recent education effort.,AGT633,47.13,South,Process,Customer Servicing,Product Feedback
FDB100053,CUST15822,Luis Guerra,Appliances,APP-157,Mobile App,2025-10-08,Suggestion,8,Outside our most same capital group son provide reflect but office enter.,AGT693,38.8,South,Process,Customer Servicing,Product Feedback
FDB100054,CUST12716,Michael Rose,Automobile,AUT-495,Email,2025-05-30,Neutral,10,Mrs road law identify meet collection account become.,AGT821,43.57,West,Process,Customer Servicing,Product Feedback
FDB100055,CUST11966,Kevin Allen,Electronics,ELE-558,Social Media,2025-03-07,Positive,1,Practice support someone interview environment lawyer tell arm grow research business contain whole.,AGT398,35.1,North,Process,Customer Servicing,Product Feedback
FDB100056,CUST17486,William Peters,Appliances,APP-439,Web Portal,2024-11-20,Neutral,7,Off during keep man table anything ask degree.,AGT324,9.15,West,Process,Customer Servicing,Product Feedback
FDB100057,CUST17408,Crystal Hunter,Furniture,FUR-866,Social Media,2025-07-24,Positive,1,That body identify since second east picture drive a former cut I bed another model.,AGT205,13.7,Central,Process,Customer Servicing,Product Feedback
FDB100058,CUST12614,Matthew Long,Appliances,APP-899,In-Store Kiosk,2024-12-03,Complaint,9,Performance father treatment article.,AGT204,18.81,East,Process,Customer Servicing,Product Feedback
FDB100059,CUST15756,Jessica Short,Healthcare,HEA-396,Mobile App,2025-01-05,Complaint,3,Accept protect project American article your husband.,AGT835,35.56,South,Process,Customer Servicing,Product Feedback
FDB100060,CUST19207,Crystal Gonzalez,Automobile,AUT-596,Web Portal,2024-11-25,Neutral,1,Hit we discuss then week.,AGT168,46.21,South,Process,Customer Servicing,Product Feedback
FDB100061,CUST13865,Kenneth Moss,Sports,SPO-257,In-Store Kiosk,2025-02-22,Negative,2,Help goal history away company cause certain rest rich although several hand.,AGT335,13.02,West,Process,Customer Servicing,Product Feedback
FDB100062,CUST16182,Albert Lynch,Electronics,ELE-692,Email,2025-07-25,Complaint,2,Already ball project respond idea our people worker heart.,AGT163,4.39,North,Process,Customer Servicing,Product Feedback
FDB100063,CUST10300,Linda Beck,Electronics,ELE-938,Mobile App,2025-01-06,Suggestion,7,For address ability product stand assume happy everybody.,AGT744,20.63,West,Process,Customer Servicing,Product Feedback
FDB100064,CUST18455,Sheila Owens,Electronics,ELE-158,Mobile App,2025-09-21,Negative,4,Professional improve sign pull surface power turn challenge there try foot.,AGT304,35.46,East,Process,Customer Servicing,Product Feedback
FDB100065,CUST10612,Kristy Stevens,Furniture,FUR-437,Social Media,2025-05-23,Suggestion,4,Blood soon take note wall wait start every product choice course hit difficult resource candidate state company.,AGT200,24.6,West,Process,Customer Servicing,Product Feedback
FDB100066,CUST18073,Daniel Collins,Fashion,FAS-530,Email,2025-01-30,Negative,9,To per factor past order movement end weight feeling.,AGT275,42.03,Central,Process,Customer Servicing,Product Feedback
FDB100067,CUST13889,Steven Smith,Fashion,FAS-898,Web Portal,2025-07-21,Neutral,6,Never listen close throughout sense goal study husband strong writer.,AGT643,29.39,North,Process,Customer Servicing,Product Feedback
FDB100068,CUST15993,Timothy Johnson,Fashion,FAS-828,Email,2024-12-13,Positive,2,Brother ago street that probably get job interview.,AGT735,44.14,Central,Process,Customer Servicing,Product Feedback
FDB100069,CUST14567,Phillip Benson,Sports,SPO-152,Web Portal,2025-06-01,Positive,4,Between unit sell cover film assume seat example cut.,AGT370,4.33,South,Process,Customer Servicing,Product Feedback
FDB100070,CUST15722,Melissa Brown,Automobile,AUT-280,Mobile App,2025-07-22,Neutral,3,Somebody behavior friend heart moment.,AGT538,46.62,West,Process,Customer Servicing,Product Feedback
FDB100071,CUST10100,Sherry Rosales,Fashion,FAS-730,Mobile App,2025-10-08,Negative,10,Range still understand I establish lose if kitchen plant letter a expect newspaper including.,AGT665,1.31,South,Process,Customer Servicing,Product Feedback
FDB100072,CUST17355,Kelly Hernandez,Appliances,APP-372,In-Store Kiosk,2025-04-03,Negative,10,Establish official employee when do opportunity even indeed week training decide.,AGT396,28.56,South,Process,Customer Servicing,Product Feedback
FDB100073,CUST13863,Kelsey Kirk,Sports,SPO-906,Mobile App,2025-04-15,Complaint,3,From probably raise spend base its likely population end provide visit.,AGT456,22.48,East,Process,Customer Servicing,Product Feedback
FDB100074,CUST19908,Amber Torres,Furniture,FUR-158,Web Portal,2025-06-02,Positive,10,Class popular those challenge thought you.,AGT793,39.56,East,Process,Customer Servicing,Product Feedback
FDB100075,CUST15750,Timothy Becker,Furniture,FUR-291,Mobile App,2025-09-21,Suggestion,5,Remember idea her our president general play wrong challenge here billion article everybody bad stop stock alone.,AGT846,36.71,South,Process,Customer Servicing,Product Feedback
FDB100076,CUST11355,Zachary Mack,Electronics,ELE-972,Mobile App,2025-09-30,Negative,10,Shoulder front past recognize pick not movie.,AGT112,38.32,Central,Process,Customer Servicing,Product Feedback
FDB100077,CUST11455,Kyle Barton,Electronics,ELE-832,In-Store Kiosk,2025-10-05,Negative,2,Must drug service health to.,AGT872,44.18,Central,Process,Customer Servicing,Product Feedback
FDB100078,CUST13913,Erin Wood,Electronics,ELE-112,In-Store Kiosk,2025-02-21,Positive,10,Other big walk white discussion later several power.,AGT170,8.03,North,Process,Customer Servicing,Product Feedback
FDB100079,CUST16254,Jennifer Foster,Healthcare,HEA-387,Web Portal,2025-04-11,Negative,7,Use rock network analysis you among him music season history employee resource account tree law network president choice stay.,AGT957,6.49,North,Process,Customer Servicing,Product Feedback
FDB100080,CUST15744,Ethan Meyer DVM,Furniture,FUR-329,In-Store Kiosk,2025-07-20,Suggestion,6,Soldier learn step various government sport eight home believe hotel third offer challenge.,AGT411,27.11,West,Process,Customer Servicing,Product Feedback
FDB100081,CUST17661,Samantha Garcia,Healthcare,HEA-748,Social Media,2025-03-23,Complaint,5,Box wife write treatment may moment cut.,AGT895,27.94,North,Process,Customer Servicing,Product Feedback
FDB100082,CUST19714,Timothy Peterson,Automobile,AUT-470,Social Media,2025-08-26,Neutral,1,Find gas let training play wide officer and person many consider really capital young heart.,AGT114,3.92,West,Process,Customer Servicing,Product Feedback
FDB100083,CUST18227,Kimberly Weaver,Furniture,FUR-199,Mobile App,2025-09-29,Positive,6,Nearly model line education cold sing manage small shake weight future star.,AGT152,29.82,East,Process,Customer Servicing,Product Feedback
FDB100084,CUST14709,Kathryn Ramirez,Furniture,FUR-913,Social Media,2025-07-07,Neutral,3,Nature animal maintain less two.,AGT524,8.93,West,Process,Customer Servicing,Product Feedback
FDB100085,CUST13744,Barbara Wilson,Sports,SPO-255,Mobile App,2025-02-17,Positive,8,Send start Democrat whole break buy area sit edge some certain long.,AGT633,12.57,East,Process,Customer Servicing,Product Feedback
FDB100086,CUST14227,Wesley Moss,Automobile,AUT-103,Mobile App,2025-09-08,Positive,4,Newspaper wind prevent everyone skin.,AGT994,39.35,South,Process,Customer Servicing,Product Feedback
FDB100087,CUST17842,Angela Lynch,Appliances,APP-431,Email,2024-12-14,Positive,1,Three along why deal tree pay.,AGT707,18.31,South,Process,Customer Servicing,Product Feedback
FDB100088,CUST15171,Richard Porter,Electronics,ELE-851,Social Media,2025-06-27,Suggestion,3,Couple very test cup will right figure how life.,AGT308,23.93,Central,Process,Customer Servicing,Product Feedback
FDB100089,CUST17742,Samantha Freeman,Healthcare,HEA-193,Mobile App,2025-05-17,Positive,4,Cause fall stuff almost government budget improve modern executive.,AGT250,41.44,South,Process,Customer Servicing,Product Feedback
FDB100090,CUST18980,Jeremiah Miller,Healthcare,HEA-224,Mobile App,2024-11-22,Neutral,6,Thousand nothing within economy term region race work.,AGT518,9.58,Central,Process,Customer Servicing,Product Feedback
FDB100091,CUST10524,Robert Flores,Furniture,FUR-224,Social Media,2025-08-13,Positive,7,Thousand image perform chair hard phone individual continue.,AGT342,6.62,North,Process,Customer Servicing,Product Feedback
FDB100092,CUST15796,Miss Samantha Cameron,Furniture,FUR-623,Social Media,2025-03-10,Neutral,9,Nor establish ago able enough beat popular middle firm accept.,AGT763,10.19,Central,Process,Customer Servicing,Product Feedback
FDB100093,CUST14290,Jacqueline Richards,Automobile,AUT-754,In-Store Kiosk,2024-12-07,Negative,6,Approach in public court rich buy color history marriage stay author minute hold level measure serve power.,AGT333,4.05,East,Process,Customer Servicing,Product Feedback
FDB100094,CUST18336,Emily Davis,Healthcare,HEA-716,Web Portal,2024-11-24,Positive,3,Whatever through wind early rule her education.,AGT860,35.62,North,Process,Customer Servicing,Product Feedback
FDB100095,CUST18716,Mr. Chad Sanchez,Healthcare,HEA-260,Web Portal,2025-04-30,Positive,10,Avoid real enter toward action.,AGT873,21.24,East,Process,Customer Servicing,Product Feedback
FDB100096,CUST16092,Christina Lloyd,Appliances,APP-798,Social Media,2025-07-10,Negative,4,Hour first determine cover.,AGT176,24.18,West,Process,Customer Servicing,Product Feedback
FDB100097,CUST18365,Stuart Flores,Fashion,FAS-846,In-Store Kiosk,2025-02-22,Positive,8,Dream by stay boy author establish expert.,AGT376,40.67,East,Process,Customer Servicing,Product Feedback
FDB100098,CUST14764,Crystal Johnson,Sports,SPO-367,Web Portal,2025-06-08,Neutral,3,Mention theory action respond about away.,AGT308,4.83,East,Process,Customer Servicing,Product Feedback
FDB100099,CUST17043,Julie Hines,Electronics,ELE-216,Email,2025-05-10,Positive,2,Myself happy professional financial sea everybody appear act wonder past week.,AGT395,11.69,Central,Process,Customer Servicing,Product Feedback
FDB100100,CUST16092,Joseph Moore,Furniture,FUR-872,Social Media,2025-08-24,Negative,9,Cost scientist later their number black structure vote hand enjoy exactly beautiful bring.,AGT763,19.93,East,Process,Customer Servicing,Product Feedback
FDB100101,CUST18791,Kelly Thornton,Furniture,FUR-902,Email,2025-04-22,Neutral,6,Risk buy tree himself success soldier sort service kind impact receive piece.,AGT576,46.29,Central,Process,Customer Servicing,Product Feedback
FDB100102,CUST14580,Pamela Freeman,Furniture,FUR-735,In-Store Kiosk,2025-05-21,Positive,4,Feeling art half pick experience dream several experience performance wrong.,AGT392,17.76,Central,Process,Customer Servicing,Product Feedback
FDB100103,CUST16393,Eric Cook,Furniture,FUR-399,In-Store Kiosk,2025-08-20,Complaint,2,Imagine exist level interest reveal play prepare really group away turn.,AGT611,16.62,North,Process,Customer Servicing,Product Feedback
FDB100104,CUST14340,Allison Jones,Appliances,APP-855,Social Media,2025-06-17,Suggestion,5,Policy response cut design collection along.,AGT796,22.2,West,Process,Customer Servicing,Product Feedback
FDB100105,CUST14236,Jill Phillips,Appliances,APP-174,Web Portal,2025-03-17,Suggestion,3,South social represent dream by close only election others.,AGT222,46.95,West,Process,Customer Servicing,Product Feedback
FDB100106,CUST11567,Michael Weber,Fashion,FAS-688,Mobile App,2025-02-16,Complaint,9,No today draw rise bed meet rich cold brother tax.,AGT548,47.89,West,Process,Customer Servicing,Product Feedback
FDB100107,CUST15265,Erik Mills,Sports,SPO-468,Mobile App,2024-12-27,Suggestion,9,Account oil bed act group every must later after line smile.,AGT337,37.06,West,Process,Customer Servicing,Product Feedback
FDB100108,CUST19931,Scott Prince,Electronics,ELE-555,Social Media,2025-06-20,Complaint,4,Away continue once media find event candidate several parent film run control eye political performance.,AGT789,8.51,North,Process,Customer Servicing,Product Feedback
FDB100109,CUST11879,Patrick Clark MD,Furniture,FUR-167,Web Portal,2025-01-31,Suggestion,2,Recognize life allow whole sure sport baby because sure cause result.,AGT137,6.46,East,Process,Customer Servicing,Product Feedback
FDB100110,CUST17282,Matthew Stuart,Appliances,APP-580,Social Media,2025-08-13,Negative,9,Finish single everyone table TV eye.,AGT891,7.13,South,Process,Customer Servicing,Product Feedback
FDB100111,CUST17315,Jared Ward,Sports,SPO-417,In-Store Kiosk,2025-03-19,Suggestion,8,Now fly specific federal we southern ready nothing arrive.,AGT827,17.07,East,Process,Customer Servicing,Product Feedback
FDB100112,CUST10892,Steve Duran,Fashion,FAS-504,Mobile App,2025-01-22,Neutral,7,Seem kid both pass arrive alone force make since open.,AGT289,28.99,South,Process,Customer Servicing,Product Feedback
FDB100113,CUST15380,Katie Garcia,Automobile,AUT-727,Email,2024-11-09,Positive,2,Ability more group weight election question sure contain center prepare child business wind team model laugh type close.,AGT644,18.08,East,Process,Customer Servicing,Product Feedback
FDB100114,CUST16362,Kimberly Johnson,Healthcare,HEA-213,Mobile App,2024-10-22,Suggestion,6,Cover light long too cut mission them old budget participant rate.,AGT550,37.39,West,Process,Customer Servicing,Product Feedback
FDB100115,CUST15498,Craig Smith,Furniture,FUR-762,In-Store Kiosk,2025-06-07,Positive,10,Medical week enough her serve federal.,AGT295,39.26,South,Process,Customer Servicing,Product Feedback
FDB100116,CUST11814,Isabella Gilbert,Automobile,AUT-641,In-Store Kiosk,2025-10-10,Complaint,9,Dark billion seek research technology power people former agree already.,AGT789,19.41,North,Process,Customer Servicing,Product Feedback
FDB100117,CUST11873,Misty Clayton,Automobile,AUT-666,In-Store Kiosk,2025-01-21,Complaint,7,Character interest Republican upon career serious computer positive policy son information front change form cultural scene interest.,AGT948,44.49,East,Process,Customer Servicing,Product Feedback
FDB100118,CUST18171,Kendra Myers,Furniture,FUR-512,Mobile App,2025-10-04,Neutral,10,Cold growth before nature find according agree answer response human factor picture billion same.,AGT401,31.24,South,Process,Customer Servicing,Product Feedback
FDB100119,CUST14395,Robert Bell MD,Sports,SPO-655,In-Store Kiosk,2024-12-06,Suggestion,1,Shake month job material out check.,AGT659,5.15,North,Process,Customer Servicing,Product Feedback
FDB100120,CUST14480,Melissa Young,Fashion,FAS-702,Web Portal,2025-05-24,Complaint,6,Team popular light trial not of everybody recently political even building military deal trade including decide along value until interview.,AGT105,32.78,West,Process,Customer Servicing,Product Feedback
FDB100121,CUST16662,Kathryn Wilson,Automobile,AUT-677,Social Media,2025-06-30,Suggestion,8,Street forget whom nice various risk give design natural information military employee between yard not contain apply great.,AGT581,2.6,West,Process,Customer Servicing,Product Feedback
FDB100122,CUST11435,Christopher Davis,Furniture,FUR-994,Mobile App,2025-08-21,Neutral,3,Detail own large network realize she woman grow six itself under prove less bill.,AGT865,32.3,Central,Process,Customer Servicing,Product Feedback
FDB100123,CUST10076,Brian Hill,Appliances,APP-804,Web Portal,2025-06-12,Neutral,5,Kid public citizen skill.,AGT613,30.38,West,Process,Customer Servicing,Product Feedback
FDB100124,CUST10873,Joseph Lin,Furniture,FUR-849,Email,2024-10-24,Neutral,9,Third cup talk machine.,AGT984,24.61,West,Process,Customer Servicing,Product Feedback
FDB100125,CUST19154,Jason Watson,Healthcare,HEA-321,Mobile App,2025-10-13,Complaint,10,But whom clearly like blood budget perhaps worry picture scientist factor skill.,AGT521,35.03,North,Process,Customer Servicing,Product Feedback
FDB100126,CUST10686,Joseph Cook MD,Furniture,FUR-236,Mobile App,2025-01-25,Complaint,6,Open if employee else recent who arm surface record current.,AGT450,37.16,South,Process,Customer Servicing,Product Feedback
FDB100127,CUST17186,Margaret Allen,Healthcare,HEA-973,Web Portal,2025-10-12,Suggestion,8,Identify husband against power serious management eat address.,AGT796,23.95,East,Process,Customer Servicing,Product Feedback
FDB100128,CUST10070,Darin Perez,Appliances,APP-566,In-Store Kiosk,2025-02-24,Negative,4,Record adult wait know of material front recently truth wife.,AGT757,21.6,Central,Process,Customer Servicing,Product Feedback
FDB100129,CUST16044,Laura Burton,Healthcare,HEA-564,Web Portal,2025-09-25,Complaint,4,Will key husband management.,AGT383,12.73,East,Process,Customer Servicing,Product Feedback
FDB100130,CUST14729,Stephanie Bender,Healthcare,HEA-749,Mobile App,2025-06-13,Negative,4,Beautiful job see spend resource.,AGT290,43.86,Central,Process,Customer Servicing,Product Feedback
FDB100131,CUST15277,Anthony Brown,Furniture,FUR-132,Web Portal,2025-09-26,Complaint,4,Field defense benefit toward offer single door eight home.,AGT750,21.35,Central,Process,Customer Servicing,Product Feedback
FDB100132,CUST19083,Erin Arnold,Furniture,FUR-612,Mobile App,2025-06-20,Complaint,6,Base spend upon meet right forward bring season instead trouble meeting nearly only place response.,AGT897,9.78,East,Process,Customer Servicing,Product Feedback
FDB100133,CUST12574,Lisa Hernandez,Healthcare,HEA-214,Mobile App,2025-05-01,Neutral,6,Buy possible structure speak left really democratic better.,AGT754,12.73,North,Process,Customer Servicing,Product Feedback
FDB100134,CUST16887,Andrea Bentley,Sports,SPO-340,Web Portal,2025-03-20,Positive,2,Buy name allow listen life him social.,AGT641,38.78,North,Process,Customer Servicing,Product Feedback
FDB100135,CUST17712,Cassandra Martin,Furniture,FUR-675,In-Store Kiosk,2025-10-06,Suggestion,1,Whole past himself suggest establish president nation.,AGT685,8.41,East,Process,Customer Servicing,Product Feedback
FDB100136,CUST10969,Dennis Escobar,Automobile,AUT-190,Web Portal,2025-10-06,Suggestion,1,Seven data listen.,AGT611,32.41,West,Process,Customer Servicing,Product Feedback
FDB100137,CUST14813,Ronald Ballard,Appliances,APP-221,Web Portal,2025-05-18,Positive,8,Civil detail energy difference military avoid too be how.,AGT929,39.32,South,Process,Customer Servicing,Product Feedback
FDB100138,CUST14553,Tonya Johnson,Appliances,APP-256,Social Media,2025-04-09,Complaint,6,Our mean prove need hour fast protect cut at foot.,AGT163,14.65,East,Process,Customer Servicing,Product Feedback
