Employee_ID,Employee_Name,Department,Job_Role,Training_Program,Training_Start_Date,Training_End_Date,Training_Status,Training_Mode,Training_Hours,Training_Score,Certification_Received,Feedback_Rating,Feedback_Comments,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0037,Employee_37,Finance,Analyst,Compliance Training,2025-09-02,2025-09-19,In Progress,Online,33,75.24,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0038,Employee_38,Sales,Executive,Data Science Certification,2025-06-24,2025-07-02,Not Started,Online,32,65.48,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0039,Employee_39,Finance,Manager,Leadership Training,2025-06-17,2025-06-28,Not Started,Classroom,35,60.24,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0040,Employee_40,Marketing,Analyst,Compliance Training,2025-06-21,2025-07-13,Completed,Online,38,55.76,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0041,Employee_41,IT,Assistant,Technical Upskilling,2025-10-17,2025-11-04,Completed,Online,31,94.18,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0042,Employee_42,HR,Assistant,Technical Upskilling,2025-05-29,2025-06-10,In Progress,Online,12,96.75,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0043,Employee_43,Finance,Assistant,Data Science Certification,2025-07-10,2025-07-30,Completed,Hybrid,6,77.58,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0044,Employee_44,IT,Executive,Soft Skills Workshop,2025-09-29,2025-10-14,Not Started,Classroom,34,65.55,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0045,Employee_45,Sales,Consultant,Data Science Certification,2025-05-22,2025-06-20,Not Started,Online,13,52.83,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0046,Employee_46,Operations,Engineer,Leadership Training,2025-10-13,2025-10-27,In Progress,Hybrid,6,66.53,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0047,Employee_47,Operations,Assistant,Leadership Training,2025-09-13,2025-10-07,In Progress,Classroom,18,66.43,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0048,Employee_48,Marketing,Engineer,Leadership Training,2025-04-21,2025-05-19,Not Started,Hybrid,24,82.48,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0049,Employee_49,Finance,Consultant,Technical Upskilling,2025-09-14,2025-09-30,In Progress,Hybrid,15,63.13,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0050,Employee_50,Marketing,Manager,Technical Upskilling,2025-06-02,2025-06-04,Not Started,Classroom,18,95.64,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0051,Employee_51,HR,Consultant,Project Management,2025-08-14,2025-09-12,In Progress,Classroom,13,56.09,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0052,Employee_52,HR,Analyst,Leadership Training,2025-09-21,2025-09-27,Completed,Classroom,19,96.41,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0053,Employee_53,HR,Consultant,Soft Skills Workshop,2025-09-08,2025-09-26,In Progress,Hybrid,21,63.25,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0054,Employee_54,Finance,Assistant,Soft Skills Workshop,2025-09-18,2025-09-21,Not Started,Hybrid,21,98.7,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0055,Employee_55,Marketing,Consultant,Compliance Training,2025-08-26,2025-09-14,In Progress,Online,23,96.53,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0056,Employee_56,Operations,Engineer,Project Management,2025-08-05,2025-08-06,Not Started,Online,35,62.71,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0057,Employee_57,Finance,Executive,Soft Skills Workshop,2025-06-22,2025-07-04,In Progress,Online,2,57.34,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0058,Employee_58,Sales,Assistant,Data Science Certification,2025-10-10,2025-10-19,In Progress,Online,33,76.55,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0059,Employee_59,Finance,Executive,Technical Upskilling,2025-09-21,2025-10-04,In Progress,Hybrid,21,94.12,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0060,Employee_60,Sales,Consultant,Data Science Certification,2025-10-09,2025-10-19,Not Started,Online,6,84.54,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0061,Employee_61,Marketing,Executive,Data Science Certification,2025-05-13,2025-05-14,Not Started,Online,34,86.07,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0062,Employee_62,Finance,Assistant,Soft Skills Workshop,2025-09-21,2025-09-23,Completed,Hybrid,16,61.66,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0063,Employee_63,Sales,Analyst,Leadership Training,2025-09-28,2025-10-18,In Progress,Classroom,7,70.57,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0064,Employee_64,Finance,Consultant,Project Management,2025-05-07,2025-05-23,Not Started,Hybrid,13,92.14,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0065,Employee_65,IT,Analyst,Soft Skills Workshop,2025-05-16,2025-06-14,In Progress,Hybrid,30,54.42,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0066,Employee_66,IT,Analyst,Soft Skills Workshop,2025-07-26,2025-08-02,In Progress,Hybrid,8,67.72,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0067,Employee_67,Operations,Manager,Leadership Training,2025-09-15,2025-10-13,Completed,Hybrid,18,55.96,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0068,Employee_68,Sales,Engineer,Soft Skills Workshop,2025-04-21,2025-05-02,In Progress,Hybrid,10,92.75,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0069,Employee_69,Sales,Executive,Compliance Training,2025-08-13,2025-08-23,In Progress,Classroom,17,95.49,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0070,Employee_70,IT,Assistant,Data Science Certification,2025-08-20,2025-09-16,In Progress,Online,23,96.11,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0071,Employee_71,Operations,Executive,Technical Upskilling,2025-07-03,2025-07-23,In Progress,Hybrid,22,63.55,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0072,Employee_72,Finance,Consultant,Project Management,2025-10-17,2025-11-15,Not Started,Classroom,36,57.25,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0073,Employee_73,Operations,Manager,Compliance Training,2025-04-26,2025-05-20,Completed,Hybrid,34,99.56,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0074,Employee_74,Operations,Executive,Soft Skills Workshop,2025-07-23,2025-08-09,Completed,Classroom,35,97.5,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0075,Employee_75,Sales,Engineer,Project Management,2025-04-26,2025-05-01,Not Started,Classroom,34,82.44,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0076,Employee_76,Sales,Analyst,Soft Skills Workshop,2025-05-15,2025-06-09,Not Started,Classroom,15,98.15,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0077,Employee_77,IT,Executive,Data Science Certification,2025-04-20,2025-05-15,Not Started,Online,33,86.89,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0078,Employee_78,HR,Assistant,Project Management,2025-05-13,2025-05-24,Completed,Online,28,69.01,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0079,Employee_79,HR,Engineer,Technical Upskilling,2025-08-26,2025-09-13,Completed,Classroom,19,65.34,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0080,Employee_80,Operations,Assistant,Leadership Training,2025-08-03,2025-08-30,In Progress,Online,13,80.72,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0081,Employee_81,Operations,Engineer,Project Management,2025-05-07,2025-05-29,Completed,Hybrid,2,71.59,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0082,Employee_82,Finance,Analyst,Data Science Certification,2025-08-15,2025-08-18,Completed,Hybrid,4,86.39,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0083,Employee_83,Operations,Executive,Technical Upskilling,2025-06-28,2025-07-20,Completed,Online,5,97.29,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0084,Employee_84,Operations,Assistant,Project Management,2025-09-08,2025-09-10,Completed,Hybrid,19,66.27,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0085,Employee_85,Finance,Executive,Technical Upskilling,2025-09-03,2025-09-13,In Progress,Hybrid,11,52.7,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0086,Employee_86,IT,Engineer,Technical Upskilling,2025-07-26,2025-08-20,In Progress,Hybrid,37,80.95,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0087,Employee_87,Sales,Executive,Project Management,2025-07-18,2025-07-26,Not Started,Classroom,26,85.73,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0088,Employee_88,Marketing,Executive,Leadership Training,2025-07-11,2025-07-12,Not Started,Hybrid,23,78.84,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0089,Employee_89,HR,Consultant,Leadership Training,2025-09-05,2025-09-10,Not Started,Online,27,72.05,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0090,Employee_90,IT,Engineer,Project Management,2025-07-19,2025-08-17,In Progress,Online,30,56.39,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0091,Employee_91,IT,Assistant,Technical Upskilling,2025-08-16,2025-08-27,In Progress,Classroom,14,66.83,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0092,Employee_92,Operations,Manager,Compliance Training,2025-08-10,2025-08-19,In Progress,Classroom,32,75.23,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0093,Employee_93,Finance,Assistant,Soft Skills Workshop,2025-05-23,2025-06-17,In Progress,Classroom,7,92.57,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0094,Employee_94,Sales,Executive,Technical Upskilling,2025-09-25,2025-10-21,In Progress,Classroom,26,75.26,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0095,Employee_95,HR,Executive,Data Science Certification,2025-08-23,2025-09-05,Completed,Classroom,24,81.33,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0096,Employee_96,HR,Assistant,Project Management,2025-08-05,2025-08-15,Not Started,Online,33,58.78,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0097,Employee_97,Operations,Consultant,Technical Upskilling,2025-08-22,2025-09-08,Completed,Online,28,77.93,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0098,Employee_98,Marketing,Consultant,Project Management,2025-08-02,2025-08-09,In Progress,Online,24,89.31,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0099,Employee_99,Marketing,Consultant,Project Management,2025-10-10,2025-10-24,Not Started,Hybrid,31,58.68,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0100,Employee_100,Marketing,Engineer,Leadership Training,2025-09-25,2025-10-15,In Progress,Online,12,93.11,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0101,Employee_101,Marketing,Manager,Leadership Training,2025-07-28,2025-08-05,Completed,Online,12,56.48,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0102,Employee_102,Sales,Consultant,Technical Upskilling,2025-10-10,2025-10-11,In Progress,Online,6,71.74,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0103,Employee_103,HR,Engineer,Data Science Certification,2025-05-04,2025-05-13,Not Started,Online,27,63.59,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0104,Employee_104,Sales,Engineer,Leadership Training,2025-06-29,2025-06-30,Not Started,Online,5,66.05,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0105,Employee_105,Finance,Manager,Project Management,2025-06-03,2025-06-20,Completed,Hybrid,24,58.96,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0106,Employee_106,Operations,Consultant,Technical Upskilling,2025-07-22,2025-08-09,Completed,Online,23,94.52,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0107,Employee_107,Operations,Engineer,Data Science Certification,2025-08-11,2025-08-18,In Progress,Classroom,32,60.71,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0108,Employee_108,Finance,Manager,Compliance Training,2025-08-05,2025-08-18,Completed,Online,37,57.41,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0109,Employee_109,HR,Consultant,Technical Upskilling,2025-08-01,2025-08-06,Completed,Classroom,39,71.71,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0110,Employee_110,IT,Manager,Leadership Training,2025-04-21,2025-05-20,Not Started,Hybrid,3,54.74,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0111,Employee_111,IT,Executive,Soft Skills Workshop,2025-05-31,2025-06-04,Completed,Classroom,26,96.55,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0112,Employee_112,Finance,Analyst,Soft Skills Workshop,2025-07-11,2025-07-27,Completed,Online,23,67.67,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0113,Employee_113,IT,Consultant,Data Science Certification,2025-08-03,2025-08-17,Not Started,Online,10,54.58,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0114,Employee_114,Operations,Manager,Technical Upskilling,2025-06-06,2025-06-29,Not Started,Hybrid,21,56.42,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0115,Employee_115,Sales,Consultant,Leadership Training,2025-08-23,2025-09-18,Not Started,Hybrid,22,95.61,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0116,Employee_116,IT,Analyst,Compliance Training,2025-05-03,2025-05-20,Not Started,Hybrid,15,59.86,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0117,Employee_117,Operations,Assistant,Compliance Training,2025-08-27,2025-09-08,In Progress,Online,23,64.02,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0118,Employee_118,Sales,Engineer,Project Management,2025-10-14,2025-10-19,Completed,Classroom,37,99.95,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0119,Employee_119,HR,Executive,Leadership Training,2025-06-08,2025-06-09,In Progress,Classroom,5,77.22,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0120,Employee_120,Marketing,Engineer,Project Management,2025-06-13,2025-07-06,Completed,Classroom,9,79.19,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0121,Employee_121,Sales,Consultant,Soft Skills Workshop,2025-09-22,2025-09-30,In Progress,Classroom,22,74.76,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0122,Employee_122,Finance,Assistant,Leadership Training,2025-06-08,2025-06-17,In Progress,Online,25,82.37,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0123,Employee_123,Marketing,Assistant,Technical Upskilling,2025-09-07,2025-09-11,In Progress,Hybrid,39,51.96,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0124,Employee_124,Operations,Analyst,Leadership Training,2025-09-29,2025-10-27,In Progress,Online,2,91.26,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0125,Employee_125,Operations,Assistant,Data Science Certification,2025-09-28,2025-10-28,In Progress,Hybrid,7,82.71,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0126,Employee_126,Finance,Engineer,Compliance Training,2025-09-12,2025-09-25,Not Started,Online,26,65.65,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0127,Employee_127,IT,Manager,Leadership Training,2025-10-08,2025-10-11,In Progress,Hybrid,31,54.92,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0128,Employee_128,Sales,Assistant,Soft Skills Workshop,2025-09-08,2025-10-05,Not Started,Classroom,37,85.54,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0129,Employee_129,Marketing,Engineer,Soft Skills Workshop,2025-07-01,2025-07-19,Not Started,Hybrid,9,89.93,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0130,Employee_130,Sales,Consultant,Data Science Certification,2025-07-01,2025-07-22,Not Started,Classroom,27,95.77,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0131,Employee_131,IT,Assistant,Technical Upskilling,2025-10-06,2025-10-17,Not Started,Classroom,19,52.49,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0132,Employee_132,IT,Executive,Leadership Training,2025-09-03,2025-09-14,Completed,Classroom,37,85.36,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0133,Employee_133,HR,Analyst,Data Science Certification,2025-09-09,2025-09-24,Not Started,Online,39,84.21,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0134,Employee_134,Marketing,Manager,Data Science Certification,2025-09-26,2025-10-25,Not Started,Online,2,56.66,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0135,Employee_135,Marketing,Consultant,Technical Upskilling,2025-10-16,2025-11-05,Not Started,Classroom,24,57.6,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
