Customer_ID,Full_Name,Application_ID,Application_Date,Decision_Date,Credit_Product,Credit_Score,Risk_Grade,Credit_Limit,Decision_Status,Rejection_Reason,Approved_Amount,Decision_Channel,Underwriter,Credit_Policy,Comments,Business_Activity,Value_Domain,Data_Segment,Data_Domain
CUST69022,Shirley Quinn,APP263287,2025-04-28,2025-09-28,Home Loan,545,E,960359,Approved,None,960359,Mobile App,Steven Walsh,Special Consideration,Institution they lay fill campaign indicate establish thing executive.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST62030,Angel Vang,APP669511,2025-01-10,2025-05-12,Personal Loan,623,B,296402,Pending Review,None,0,Branch Visit,Kristi Richardson,Special Consideration,Once analysis whole billion morning available.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST66650,Jason Welch,APP105621,2025-03-28,2025-09-14,Business Loan,736,E,606954,Pending Review,None,0,Agent Assisted,Stacy Wells,Premium,Stock pick mouth every level provide bring news evening dream.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST63247,Larry Mcdonald,APP161795,2025-04-16,2025-07-10,Home Loan,363,C,849110,Approved,None,849110,Mobile App,Laurie Martinez,Special Consideration,Star build necessary civil life.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST39977,Mark Carpenter,APP745336,2025-03-13,2025-08-01,Auto Loan,384,D,902188,Rejected,Incomplete Documentation,0,Branch Visit,Heather Martin,Special Consideration,Least almost according through allow right structure level model high.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST35938,Kevin Smith II,APP727087,2025-07-06,2025-08-10,Credit Card,747,B,456457,Approved,None,456457,Online Application,Kevin Mendoza,Special Consideration,Attack rule discussion house write up nothing step should.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST24215,Gregory Cardenas,APP518952,2025-07-04,2025-08-22,Business Loan,304,D,530860,Pending Review,None,0,Online Application,Steven Walsh,High Risk,Hope thought add grow week.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST28949,Jamie Ramirez,APP536055,2025-07-09,2025-10-09,Credit Card,822,B,454157,Approved,None,454157,Mobile App,Tanya Fritz,Premium,Author conference majority moment common young game management.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST59253,Dr. Kayla Johnson DDS,APP458373,2025-05-27,2025-08-01,Auto Loan,677,D,880233,Pending Review,None,0,Agent Assisted,Lisa Conley,Special Consideration,Stock a office Mrs become somebody American behind court.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST36914,Taylor Contreras,APP775938,2025-02-08,2025-07-28,Credit Card,321,D,891491,Approved,None,891491,Online Application,Kathryn Edwards,Standard,Wrong mention military bad during daughter.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST34335,Larry Rice,APP878895,2024-12-25,2025-02-06,Credit Card,374,C,756627,Pending Review,None,0,Mobile App,Kathryn Joyce,High Risk,Try final day never within visit follow you now.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST29173,Shirley Hernandez,APP313215,2025-02-01,2025-02-21,Home Loan,389,B,186246,Pending Review,None,0,Online Application,Paula Harper,Standard,Lawyer others public fine summer security fish pretty wonder career.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST61627,Michelle Johnson,APP329786,2025-03-14,2025-05-14,Home Loan,702,C,613323,Rejected,Employment Instability,0,Online Application,Lisa Conley,High Risk,Send eat church yet third result energy purpose.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST46273,Jose Snyder,APP943567,2024-11-25,2025-10-10,Home Loan,514,E,337747,Approved,None,337747,Branch Visit,Debra Mccormick,High Risk,Democratic red society perform four.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST13220,Michael Nguyen,APP971030,2025-10-02,2025-10-10,Auto Loan,567,B,386010,Approved,None,386010,Online Application,Kristi Richardson,Standard,Fight receive enough leg with collection benefit the.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST66587,Travis Craig,APP856330,2025-04-15,2025-05-19,Auto Loan,807,E,979447,Pending Review,None,0,Branch Visit,Debra Mccormick,Premium,Plan personal difference reach center soon sometimes piece eye leave.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST56951,Patricia Lopez,APP182325,2025-04-26,2025-05-30,Business Loan,804,E,579839,Rejected,Employment Instability,0,Agent Assisted,Stacy Wells,Premium,Participant way evidence central that guy large bad rule.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST92609,Kiara Rose,APP901545,2025-05-02,2025-05-17,Business Loan,645,C,555393,Rejected,Employment Instability,0,Branch Visit,Cynthia Thomas,Special Consideration,Long away ok population similar ask.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST14705,Christopher Bruce,APP385570,2025-02-01,2025-09-16,Business Loan,743,E,552608,Approved,None,552608,Mobile App,Casey Turner,Standard,Nor official leave American generation cover start leave common.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST47371,Brian Chapman,APP373300,2024-11-15,2025-05-13,Credit Card,715,E,535360,Rejected,High Debt-to-Income Ratio,0,Mobile App,Debra Mccormick,High Risk,Agree career time key black.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST74640,Robert Flores,APP190771,2024-11-04,2024-12-07,Business Loan,351,D,360840,Approved,None,360840,Branch Visit,Heather Martin,Premium,Let health prove alone continue again board tax least.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST95292,Heather Robertson,APP968109,2025-06-04,2025-07-22,Auto Loan,623,B,489001,Rejected,Incomplete Documentation,0,Agent Assisted,Kevin Mendoza,Premium,Individual need quality project adult himself.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST83498,Lisa Wagner,APP641508,2025-08-03,2025-08-13,Credit Card,806,B,125986,Rejected,Incomplete Documentation,0,Mobile App,Kimberly Rogers,Special Consideration,Western her her simply there hope somebody again let drop.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST88238,Sara Lewis,APP197958,2025-08-08,2025-10-13,Home Loan,374,A,973244,Approved,None,973244,Mobile App,Justin Hobbs,Special Consideration,Opportunity father instead early way rock concern might as election.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST74721,April Maldonado,APP862697,2025-02-04,2025-06-21,Personal Loan,304,B,734545,Pending Review,None,0,Mobile App,John Wade,Standard,South small as check main painting hard thing.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST78942,Kyle Lopez,APP153295,2025-08-27,2025-09-17,Credit Card,332,B,964058,Rejected,Employment Instability,0,Mobile App,Chase Bailey,Special Consideration,Fall buy and top identify.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST14781,Emily Becker,APP966652,2025-08-21,2025-10-11,Personal Loan,821,C,814203,Approved,None,814203,Agent Assisted,Casey Turner,Premium,Head stuff daughter happen order experience student.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST45479,Jeremy West,APP562910,2025-01-31,2025-03-12,Auto Loan,827,E,984735,Pending Review,None,0,Branch Visit,Chase Bailey,Premium,Season small tonight high owner thus against data wonder point.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST91703,Steven Murray,APP331286,2025-09-11,2025-09-27,Auto Loan,900,A,865818,Rejected,Incomplete Documentation,0,Agent Assisted,Patrick Smith,Special Consideration,Movement rich college popular just play one music feel show.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST47309,Anne Wells DDS,APP322742,2025-07-08,2025-07-17,Auto Loan,651,E,172306,Rejected,Incomplete Documentation,0,Mobile App,Christian Jackson,Premium,Group part hotel assume nothing provide practice citizen.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST28916,Nicholas Mosley,APP757072,2024-12-04,2025-05-01,Auto Loan,341,A,507501,Approved,None,507501,Branch Visit,Stephanie Watkins,Standard,Know design add spring first talk Mrs hundred visit.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST52703,Scott Blackwell,APP903822,2025-08-31,2025-09-16,Credit Card,465,B,158695,Rejected,High Debt-to-Income Ratio,0,Branch Visit,Susan Morales,Standard,Box which reflect heart away hospital clear help strong little serve.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST72463,Patrick Gonzalez,APP394876,2025-05-04,2025-07-18,Personal Loan,854,D,523805,Rejected,Incomplete Documentation,0,Mobile App,Heather Martin,Standard,Agent space close western market media full way drive.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST25270,Kimberly Peterson,APP731427,2025-07-27,2025-09-29,Credit Card,439,C,870196,Approved,None,870196,Online Application,Carlos Allen,High Risk,Different color control fly threat allow.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST79568,Alec Fitzgerald,APP269116,2025-09-29,2025-09-29,Credit Card,715,A,105428,Rejected,Employment Instability,0,Agent Assisted,Kimberly Rogers,Standard,Early meeting throughout hot writer identify.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST74948,Jamie Miller,APP997596,2025-03-20,2025-08-23,Credit Card,321,C,139096,Approved,None,139096,Mobile App,Zachary Cruz,Standard,Quality another north table interesting also down country.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST49644,John Marshall,APP637979,2025-06-06,2025-06-06,Business Loan,850,E,193651,Rejected,Incomplete Documentation,0,Mobile App,Paula Harper,Special Consideration,Use building strategy order current stage build even else.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST60853,Mark Scott DVM,APP716476,2025-07-16,2025-07-26,Auto Loan,886,B,646928,Pending Review,None,0,Online Application,Tanya Fritz,Special Consideration,Live community look statement.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST15721,Cathy Graham,APP286808,2024-11-10,2025-01-30,Home Loan,636,B,942014,Approved,None,942014,Branch Visit,Chase Bailey,Standard,Late accept phone believe her coach let contain night.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST77029,Diana Perez,APP862304,2025-08-17,2025-08-18,Personal Loan,556,C,240146,Approved,None,240146,Branch Visit,Carlos Allen,High Risk,Set notice dog language decision great possible two statement daughter.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST54093,Laura Green,APP643498,2025-09-12,2025-10-01,Business Loan,887,C,524318,Rejected,Incomplete Documentation,0,Mobile App,Laurie Martinez,High Risk,Call sell create also support.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST75450,Jennifer Donaldson,APP657240,2025-10-05,2025-10-15,Home Loan,567,B,758185,Pending Review,None,0,Branch Visit,Laurie Martinez,High Risk,Glass idea lawyer within cell follow no.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST60123,Robert Roth,APP452031,2024-12-29,2025-01-18,Business Loan,521,E,315262,Approved,None,315262,Agent Assisted,Julie Matthews,High Risk,Success sometimes yet chair want build real big buy.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST54730,John White,APP460177,2024-12-22,2025-02-17,Home Loan,514,A,385055,Pending Review,None,0,Mobile App,James Kim,High Risk,Republican head thousand option show.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST49576,Matthew Nelson,APP416530,2025-05-16,2025-09-06,Credit Card,784,B,91444,Pending Review,None,0,Branch Visit,George Hayes,Special Consideration,Like oil sport alone message office appear last tough.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST95543,Jason Anderson,APP745590,2025-08-19,2025-09-11,Credit Card,724,E,720430,Approved,None,720430,Mobile App,Ashley Wilcox,Premium,Week physical in positive institution.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST20179,Tammy Myers,APP217706,2025-06-01,2025-08-22,Business Loan,313,D,365900,Approved,None,365900,Branch Visit,Heather Martin,High Risk,Program top cause scientist need minute whatever experience.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST16034,Rachel Jackson,APP345615,2025-02-25,2025-03-16,Home Loan,782,B,904830,Pending Review,None,0,Mobile App,Marcus Hicks,Premium,Organization peace study somebody their require professional morning move.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST58975,Cody Ayala,APP235665,2025-04-04,2025-07-15,Personal Loan,427,C,82236,Approved,None,82236,Mobile App,Steven Walsh,Standard,More field effort heavy word.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST69636,Stacy Austin,APP638629,2024-11-16,2025-09-05,Credit Card,861,A,450488,Pending Review,None,0,Mobile App,Ashley Wilcox,Special Consideration,Not nor return person well.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST84868,Douglas Stuart,APP230163,2025-09-16,2025-09-23,Personal Loan,806,A,334192,Pending Review,None,0,Branch Visit,Kimberly Rogers,Premium,Whatever individual spend last hot.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST31331,Lonnie Young,APP170925,2025-03-07,2025-06-08,Personal Loan,815,C,357038,Pending Review,None,0,Online Application,Krista Barker,Standard,Drive article actually Republican only situation authority her debate foreign.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST97247,Chelsea Stanley,APP923228,2025-01-14,2025-02-08,Auto Loan,371,D,64871,Approved,None,64871,Branch Visit,Ana Parker,Premium,Product conference many break end.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST75532,Kenneth Johnson,APP781534,2025-07-31,2025-08-16,Business Loan,865,C,227750,Pending Review,None,0,Mobile App,Kelly Harris,Premium,Analysis be control time whether goal meeting tonight teach score.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST25923,Darrell Collins,APP804498,2025-01-25,2025-09-21,Personal Loan,803,A,669098,Approved,None,669098,Mobile App,Julie Matthews,Premium,Help similar rise stay game.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
