Customer_ID,Full_Name,Email,Preferred_Communication_Mode,Preferred_Language,Notification_Preference,Product_Interest,Preferred_Contact_Day,Preferred_Contact_Time,Marketing_Consent,Channel_Preference,Relationship_Goal,Satisfaction_Rating,Created_Date,Last_Updated,Remarks,Business_Activity,Value_Domain,Data_Segment,Data_Domain
CUST69676,Ebony Dougherty,coffeymichael@example.net,Phone Call,Bengali,Only Important,Credit Card,Weekdays,Evening,Yes,Digital,Investment,2,2025-06-25,2025-07-29,Loss win light race rich health hospital wish boy control language student.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST59902,Kayla Scott,jon09@example.org,Phone Call,Telugu,All Notifications,Credit Card,Weekdays,Afternoon,No,Offline,Business Expansion,3,2025-01-16,2025-01-28,Compare stop player teacher bed everyone short.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST90773,Samuel Brady,omartin@example.net,Mobile App,Kannada,All Notifications,Credit Card,Weekdays,Evening,Yes,Hybrid,Business Expansion,5,2025-09-04,2025-10-10,Vote here smile heart contain experience full.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST70257,Robin Wong,darlene98@example.com,Branch Visit,English,Only Important,Credit Card,Weekdays,Morning,No,Digital,Wealth Management,3,2024-10-21,2025-04-02,Since system list sea my sing here answer skill with total threat.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST98352,David Morris III,pauldenise@example.com,Mobile App,Kannada,None,Credit Card,Anyday,Evening,No,Digital,Business Expansion,2,2025-04-30,2025-05-06,Most security its president force building should charge since beautiful eye able seat.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST28174,Nancy Hernandez,kgriffin@example.org,SMS,Hindi,None,Personal Loan,Weekends,Morning,Yes,Hybrid,Investment,4,2025-01-05,2025-07-24,Book follow institution thing age step someone player stop heavy describe east political.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST95380,Jason Jackson,stanleyshelly@example.com,Phone Call,Bengali,No Promotions,Fixed Deposit,Weekends,Morning,No,Hybrid,Wealth Management,5,2024-12-24,2025-02-24,Camera happy summer billion improve identify herself consider exactly forward agency on term.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST54104,David Clark,qguerra@example.com,Branch Visit,English,Only Important,Insurance,Weekdays,Morning,Yes,Hybrid,Business Expansion,2,2024-10-16,2024-10-27,Ground a leader among range financial art develop.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST44775,Melissa Gonzalez,karencollier@example.net,Phone Call,English,None,Investment Plan,Weekends,Afternoon,Yes,Hybrid,Wealth Management,2,2024-10-26,2024-11-12,Great baby other right building red stand pull.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST69979,Renee Patterson,wendy36@example.com,Email,Tamil,No Promotions,Credit Card,Anyday,Morning,Yes,Digital,Business Expansion,1,2025-06-11,2025-07-14,Live culture along young example include four rock.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST66310,Mia Harris,treid@example.com,Mobile App,Bengali,Only Important,Savings Account,Anyday,Evening,Yes,Offline,Credit,2,2024-11-29,2025-07-22,Kid fear nation she black continue against later director approach perhaps task tonight.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST82953,Danielle Robertson,tracyleon@example.org,Branch Visit,Telugu,No Promotions,Personal Loan,Weekends,Morning,Yes,Digital,Wealth Management,2,2025-01-05,2025-02-27,Entire political most southern type pattern.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST88606,Matthew Liu,moonedward@example.com,SMS,Kannada,All Notifications,Savings Account,Weekdays,Evening,No,Digital,Investment,4,2025-08-03,2025-08-25,Bill relate drive player stage baby.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST61956,Jessica Sanders,eric90@example.com,Phone Call,Hindi,None,Fixed Deposit,Anyday,Afternoon,Yes,Hybrid,Credit,1,2025-05-11,2025-06-19,Business upon prove life specific detail article part require office letter analysis decade.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST43230,Natasha Cohen,hkent@example.org,SMS,Kannada,Only Important,Credit Card,Weekends,Evening,No,Digital,Investment,3,2025-01-30,2025-05-15,Raise four idea fund seek lead everyone shoulder project win score begin.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST96673,Brian Gonzales,ijohnson@example.com,Chatbot,Malayalam,No Promotions,Credit Card,Anyday,Morning,Yes,Digital,Business Expansion,5,2025-05-13,2025-05-21,Foot evening see oil watch decide consumer how key game list.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST22327,Mary Mayo,todd89@example.net,Chatbot,Telugu,All Notifications,Insurance,Weekdays,Morning,No,Offline,Business Expansion,2,2025-03-28,2025-05-09,War world trip notice benefit black late establish reduce present.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST89277,Maureen Fischer,alexander79@example.org,Mobile App,Tamil,No Promotions,Credit Card,Anyday,Morning,Yes,Hybrid,Credit,1,2025-03-03,2025-07-04,Join notice spend party arm team.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST45948,Matthew Harvey,carlos27@example.org,Email,Kannada,No Promotions,Personal Loan,Weekdays,Morning,Yes,Offline,Investment,4,2025-04-15,2025-06-12,Responsibility must a message lawyer rock car.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST28696,Michael Gardner,ariley@example.net,Branch Visit,Malayalam,All Notifications,Investment Plan,Anyday,Afternoon,No,Digital,Wealth Management,3,2025-03-08,2025-05-24,Nation great moment local system understand always part sit.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST28233,Erin Johnson,saracrawford@example.org,Mobile App,English,Only Important,Fixed Deposit,Weekends,Afternoon,No,Digital,Business Expansion,4,2025-05-19,2025-09-20,Data suggest son general card tell energy yet opportunity another raise three eye.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST18520,Anne Hall,amartinez@example.com,Mobile App,Tamil,All Notifications,Insurance,Anyday,Afternoon,Yes,Hybrid,Business Expansion,1,2025-07-31,2025-08-06,Small mouth well live miss beat.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST53987,Yesenia Mcmahon,vincent62@example.com,Branch Visit,Telugu,No Promotions,Investment Plan,Anyday,Afternoon,Yes,Digital,Savings,2,2025-01-25,2025-03-17,Matter your director account natural pay dog deep job space.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST78090,Charles Webster,john37@example.org,Email,Telugu,Only Important,Credit Card,Anyday,Afternoon,Yes,Hybrid,Investment,4,2024-11-03,2025-03-07,Cover fund people learn hold magazine number pay say usually.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST96907,Tyler Phillips,yedwards@example.net,SMS,Kannada,All Notifications,Fixed Deposit,Weekdays,Morning,Yes,Offline,Wealth Management,4,2025-07-27,2025-08-07,Carry work parent over better relationship us.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST40813,Jennifer Mercado,heathstephanie@example.net,Phone Call,Kannada,No Promotions,Personal Loan,Weekdays,Morning,Yes,Digital,Wealth Management,1,2025-03-18,2025-08-08,All player hair prevent start town source behavior high.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST64106,Carolyn Gonzalez,faithnguyen@example.com,Phone Call,Tamil,No Promotions,Investment Plan,Anyday,Evening,Yes,Digital,Credit,2,2025-10-08,2025-10-12,Involve reveal performance report the help art.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST73222,Anthony Stewart,bakerjoshua@example.org,Chatbot,Tamil,Only Important,Personal Loan,Anyday,Evening,Yes,Hybrid,Investment,2,2025-07-21,2025-09-09,Worker social success seven particularly guy successful compare then church industry meeting.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST92292,Kimberly Salas,ttravis@example.com,Mobile App,Tamil,Only Important,Personal Loan,Weekends,Morning,No,Offline,Savings,3,2025-03-14,2025-09-22,Energy Democrat sign rich loss player fly interest pretty I book develop.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST40181,Scott Jackson,lindahess@example.net,Branch Visit,Bengali,None,Savings Account,Weekends,Morning,No,Hybrid,Investment,2,2025-07-08,2025-07-25,Someone remain the artist firm success film will why report.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST97308,Ashley Skinner,glenda51@example.org,SMS,Tamil,All Notifications,Fixed Deposit,Weekdays,Afternoon,Yes,Offline,Business Expansion,5,2024-12-30,2025-09-15,Product arrive list run local voice American issue.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST38497,Bradley Johnson,jessicathompson@example.org,Email,Malayalam,All Notifications,Savings Account,Weekends,Afternoon,No,Offline,Investment,2,2025-08-18,2025-08-23,Really interesting talk understand popular seem source in summer.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST68003,Taylor Coleman,dphillips@example.com,Email,English,No Promotions,Credit Card,Weekends,Evening,No,Digital,Savings,2,2025-05-14,2025-06-14,Situation magazine million report already option.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST85106,Robert Roberson,sross@example.com,Mobile App,Bengali,No Promotions,Fixed Deposit,Weekends,Morning,No,Digital,Savings,5,2024-12-05,2025-05-04,Environmental whom series water increase difference visit reality position plan.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST21477,Gregory Jackson,royfisher@example.org,Chatbot,Telugu,No Promotions,Savings Account,Weekends,Evening,Yes,Hybrid,Business Expansion,2,2024-12-18,2025-04-09,Type company popular group his resource baby decide her.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST16626,Gabriel Scott,uwilliams@example.org,Chatbot,Tamil,None,Insurance,Anyday,Evening,No,Hybrid,Savings,2,2025-06-29,2025-08-06,Itself himself dream collection everything have Mrs well community price perform.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST31559,Joseph Jones,schultzwilliam@example.com,Branch Visit,Kannada,All Notifications,Savings Account,Weekends,Evening,No,Hybrid,Credit,3,2025-06-07,2025-07-05,Of lead high ball with court degree movement score various choose might responsibility.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST13437,Casey Fowler,hcook@example.net,Email,Telugu,Only Important,Savings Account,Anyday,Evening,Yes,Offline,Credit,4,2025-08-13,2025-09-02,Author recently yeah force such run.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST26651,William Martin,cantrellrobert@example.org,Chatbot,Malayalam,All Notifications,Savings Account,Weekends,Evening,No,Hybrid,Investment,1,2025-04-26,2025-07-03,Wind town eight change current discussion side.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST28098,Calvin Waller,bradleydean@example.com,Chatbot,Bengali,Only Important,Investment Plan,Weekdays,Morning,Yes,Offline,Savings,3,2025-10-09,2025-10-12,Somebody kind factor drug talk off word effort.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST82495,Marc Williams,charles90@example.net,Branch Visit,Telugu,No Promotions,Credit Card,Anyday,Afternoon,No,Hybrid,Investment,3,2025-10-02,2025-10-08,Tax box listen company method field.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST56488,Michelle Reyes,luis99@example.org,Chatbot,Bengali,All Notifications,Personal Loan,Weekdays,Evening,No,Offline,Savings,3,2024-11-14,2025-06-09,Three wife everyone case green away cost.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST32624,Brittany Skinner,stephensummers@example.net,Mobile App,Tamil,None,Fixed Deposit,Weekends,Morning,No,Hybrid,Investment,5,2025-04-18,2025-06-10,Support player her outside nor test family poor.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST47263,Hannah Jones,leedavid@example.net,Mobile App,Hindi,None,Investment Plan,Weekends,Morning,Yes,Hybrid,Business Expansion,2,2025-04-08,2025-09-19,Security cell language group TV by relationship happy.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST40067,Scott Ward,liujonathan@example.org,Branch Visit,Tamil,All Notifications,Investment Plan,Anyday,Evening,No,Offline,Investment,5,2025-04-07,2025-04-30,Term situation model boy off thank get yet.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST92379,Shawn White,josephhurley@example.org,SMS,Kannada,No Promotions,Investment Plan,Weekdays,Morning,No,Hybrid,Investment,3,2025-04-17,2025-07-19,Surface organization have my still example son garden without task.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST72573,Tracey Taylor,markjuarez@example.com,Email,English,All Notifications,Investment Plan,Anyday,Evening,No,Offline,Credit,1,2025-06-08,2025-06-29,Personal his physical night population probably fact modern though chance.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST12410,Brenda Coleman,shanson@example.org,Chatbot,English,No Promotions,Savings Account,Weekdays,Morning,Yes,Digital,Business Expansion,5,2025-07-12,2025-10-06,Personal job show hundred represent real baby model.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST52582,Emily Randolph,berrycourtney@example.com,Chatbot,Hindi,No Promotions,Credit Card,Weekdays,Afternoon,Yes,Offline,Investment,2,2024-12-02,2025-09-24,Election different value discuss teach local former but especially community.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST10891,Heidi Chaney,wareadam@example.com,Chatbot,Bengali,None,Investment Plan,Anyday,Morning,Yes,Offline,Wealth Management,2,2025-08-30,2025-09-04,Serve likely author professor million man certainly contain mind they budget officer visit.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST64405,Thomas Watson DDS,kellysanchez@example.com,Branch Visit,Bengali,No Promotions,Insurance,Anyday,Afternoon,Yes,Offline,Business Expansion,1,2025-01-23,2025-02-05,Positive computer camera several land father record.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST62972,Jonathan Jones,rebekah94@example.org,Email,Tamil,No Promotions,Personal Loan,Weekends,Morning,No,Digital,Investment,2,2025-01-23,2025-08-24,Sometimes fear specific interesting word last late simple church.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST90094,Tracy Kennedy,stephanie36@example.net,SMS,Hindi,None,Investment Plan,Weekdays,Afternoon,Yes,Digital,Wealth Management,5,2024-10-18,2025-09-27,Thus series upon high into listen.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST63882,Rhonda Spencer,kenneth61@example.com,Branch Visit,English,Only Important,Savings Account,Weekdays,Morning,No,Digital,Business Expansion,2,2025-05-06,2025-08-24,First worker far partner perhaps not so success defense.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST94097,Melanie Stuart,harperdavid@example.net,Email,English,No Promotions,Investment Plan,Anyday,Afternoon,Yes,Hybrid,Investment,5,2025-01-13,2025-04-24,Federal gun data above pattern including citizen project.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST76269,Angela Kline,sarah15@example.net,Branch Visit,Kannada,Only Important,Personal Loan,Weekdays,Afternoon,No,Digital,Savings,5,2025-01-05,2025-04-19,Rich kitchen seven adult good system by.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST35009,Bridget Johnson,rebeccaarmstrong@example.org,Branch Visit,English,Only Important,Insurance,Weekends,Evening,Yes,Hybrid,Investment,2,2024-11-04,2025-03-26,Seat they current me institution spend discussion foreign piece director.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST37905,Robert Ramirez,todddawson@example.com,Branch Visit,Malayalam,No Promotions,Investment Plan,Weekends,Evening,Yes,Offline,Credit,4,2025-06-11,2025-08-20,Story analysis could stuff business authority executive environmental give anything matter office report.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST28623,Carrie Massey,garymartin@example.org,Chatbot,Hindi,Only Important,Investment Plan,Anyday,Evening,Yes,Offline,Business Expansion,3,2024-10-21,2025-06-26,Sport capital although group born billion box value authority.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST50308,Victoria Williams,robertlam@example.org,Chatbot,Kannada,Only Important,Savings Account,Weekdays,Morning,No,Digital,Credit,1,2025-04-28,2025-06-19,Into compare every pick vote million.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST41067,Stephanie Garcia,kellyjennifer@example.net,SMS,Telugu,None,Savings Account,Anyday,Afternoon,Yes,Digital,Investment,4,2025-09-12,2025-10-16,Left machine value pattern good appear hard pretty clear long notice work although put.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST65361,Patrick Hart,wongashley@example.net,Mobile App,Malayalam,All Notifications,Credit Card,Weekends,Evening,Yes,Hybrid,Business Expansion,3,2025-06-23,2025-09-01,Of may board TV three painting use very ever attorney.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST79805,Alicia Davis,aprilwhite@example.com,Mobile App,Tamil,No Promotions,Personal Loan,Anyday,Morning,No,Digital,Business Expansion,4,2024-11-17,2025-01-23,Street between anyone for hope true impact program suffer partner protect seven effect.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST67997,Jennifer Patterson,hhughes@example.com,Email,Bengali,All Notifications,Credit Card,Anyday,Morning,Yes,Offline,Credit,4,2025-07-16,2025-08-05,Beat speech away bag center apply work nice industry.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST76596,Mary Nichols,marysmith@example.com,Branch Visit,English,No Promotions,Investment Plan,Weekends,Afternoon,Yes,Digital,Wealth Management,1,2025-04-14,2025-07-29,Computer door opportunity all remember place two eight.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST34067,Cody Schneider,johnmoreno@example.net,Mobile App,Telugu,Only Important,Investment Plan,Anyday,Afternoon,No,Offline,Wealth Management,3,2025-09-14,2025-09-17,Hand truth us and true near.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST72217,Gina Johnson,reesejose@example.net,Email,Telugu,No Promotions,Credit Card,Anyday,Afternoon,No,Digital,Wealth Management,5,2025-01-23,2025-01-25,Part push skill cut walk city minute defense sit perhaps imagine center some.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST49964,Erica Bauer,christina16@example.net,Chatbot,Malayalam,Only Important,Savings Account,Weekends,Evening,No,Digital,Credit,3,2025-04-11,2025-06-13,Discussion for consumer military throw tax already.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST25553,Felicia Jones,bellrebecca@example.com,SMS,Tamil,No Promotions,Credit Card,Weekends,Evening,Yes,Offline,Investment,2,2024-10-19,2024-11-20,Amount statement seek political floor budget consumer again important.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST60649,Michelle Munoz,marybauer@example.com,Email,Bengali,None,Credit Card,Weekdays,Afternoon,Yes,Hybrid,Business Expansion,4,2025-03-08,2025-06-06,Respond suggest just science smile possible color.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST67415,Julie Jones,fbryant@example.net,Phone Call,Malayalam,None,Fixed Deposit,Weekdays,Evening,No,Hybrid,Savings,4,2025-01-18,2025-06-07,Class number significant might traditional fall medical picture start ago computer respond hope.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST87421,Terri Ortiz,brownjohn@example.org,Branch Visit,Malayalam,No Promotions,Investment Plan,Anyday,Morning,Yes,Offline,Wealth Management,1,2025-03-31,2025-06-17,Product company with through radio apply science everything black region minute television.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST58610,Jim Crawford,brittanywebb@example.org,Chatbot,Tamil,No Promotions,Personal Loan,Weekdays,Afternoon,Yes,Digital,Business Expansion,2,2025-08-26,2025-09-30,Unit against matter vote provide maintain certainly big.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST92623,John Hernandez,ericcox@example.com,Phone Call,Telugu,All Notifications,Insurance,Weekdays,Morning,No,Offline,Credit,2,2025-04-13,2025-05-09,Left scene account also dog part Congress such believe those benefit help traditional.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST64844,Gary Stewart,michaelcampbell@example.com,Phone Call,Telugu,No Promotions,Personal Loan,Weekends,Evening,Yes,Offline,Investment,1,2025-08-26,2025-10-03,Free stage identify role national collection focus but.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST36916,Teresa Allen,aaron18@example.net,Email,Hindi,None,Credit Card,Weekdays,Afternoon,No,Digital,Investment,4,2025-01-29,2025-04-15,International expert tell point career difficult.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST36799,Kristie King,gwest@example.net,Email,Hindi,Only Important,Fixed Deposit,Weekdays,Afternoon,Yes,Offline,Wealth Management,1,2025-10-05,2025-10-05,World eight benefit owner discover high western environmental cost company record.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST93621,Garrett Williams,jmorris@example.org,Phone Call,Bengali,All Notifications,Fixed Deposit,Weekdays,Evening,No,Offline,Investment,3,2025-04-06,2025-09-18,Movement ahead activity general live organization poor meet thank series year break next.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST20688,Leslie Erickson,denniscox@example.com,Phone Call,Kannada,None,Insurance,Anyday,Morning,No,Offline,Business Expansion,2,2025-07-18,2025-10-04,Bar bar draw wish conference certainly speak performance senior administration thousand.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST42315,Andrew Young,lisakerr@example.org,Mobile App,Tamil,No Promotions,Insurance,Weekdays,Afternoon,No,Hybrid,Business Expansion,4,2025-05-13,2025-08-01,Increase professor under girl dream major agency light each.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST99041,Brenda Fox,zsmith@example.org,Chatbot,Kannada,Only Important,Personal Loan,Weekends,Afternoon,Yes,Offline,Investment,1,2024-12-03,2025-05-09,Foreign although rich base there treatment blue theory seek.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST75061,Sharon Aguilar,kevin63@example.org,Mobile App,Telugu,All Notifications,Insurance,Weekends,Afternoon,No,Offline,Credit,4,2025-02-14,2025-06-01,Whatever gun bit want word since billion west perhaps doctor.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST34739,Charlene Anderson,david12@example.net,Chatbot,English,All Notifications,Insurance,Weekends,Morning,No,Digital,Savings,5,2024-12-31,2025-02-03,Occur son the officer building remember less hair.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST44999,Cody Bates,johnny78@example.com,Phone Call,Tamil,All Notifications,Savings Account,Weekends,Afternoon,Yes,Digital,Savings,2,2025-06-21,2025-08-05,End sort ability five set camera large member even report be toward.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
